ano,dias,quartos,pt_medio,pt_min,pt_max,pt_desvio,es_medio,spread_pt_es,horas_negativas,bd_v,bd_f,bs_v,bs_f,td_v,td_c,td_p,ts_v,ts_c,ts_p
2010,365,35040,37.33,0.0,180.3,14.69,37.01,0.32,0,31.62,41.41,31.43,42.2,31.62,39.83,45.36,31.43,41.0,46.8
2011,365,35040,50.46,0.0,100.0,10.11,49.92,0.53,0,46.0,53.64,45.58,54.5,46.0,52.75,55.85,45.58,53.98,56.48
2012,366,35136,48.07,0.0,90.13,12.23,47.23,0.84,0,42.94,51.74,41.93,53.17,42.94,50.48,54.87,41.93,52.19,56.93
2013,365,35040,43.65,0.0,112.0,20.38,44.26,-0.61,0,37.3,48.18,36.54,49.5,37.3,46.9,51.36,36.54,48.43,53.55
2014,365,35040,41.86,0.0,110.0,18.69,42.14,-0.28,0,35.62,46.32,34.24,48.14,35.62,44.88,49.92,34.24,47.3,51.32
2015,365,35040,50.43,4.0,85.05,12.22,50.32,0.1,0,44.84,54.42,43.38,56.24,44.84,53.08,57.77,43.38,55.37,59.53
2016,366,35136,39.44,0.0,75.0,14.9,39.67,-0.23,0,35.47,42.27,33.97,43.96,35.47,41.44,44.36,33.97,43.15,47.06
2017,365,35040,52.48,8.0,101.99,11.74,52.23,0.24,0,48.61,55.24,47.63,56.51,48.61,54.36,57.45,47.63,55.58,60.08
2018,365,35040,57.45,2.3,84.13,12.3,57.3,0.15,0,53.81,60.06,53.12,61.03,53.81,59.31,61.93,53.12,60.61,62.6
2019,365,35040,47.87,0.01,74.74,10.81,47.68,0.19,0,44.98,49.93,44.03,51.03,44.98,49.12,51.96,44.03,50.48,53.11
2020,366,35136,33.99,1.02,68.9,11.26,33.96,0.03,0,31.36,35.86,30.01,37.26,31.36,35.07,37.83,30.01,36.6,39.74
2021,365,35040,112.02,0.0,409.0,74.7,111.94,0.08,0,107.41,115.31,102.23,120.09,107.41,112.93,121.26,102.23,118.96,124.41
2022,365,35040,167.87,0.0,651.0,69.12,167.51,0.37,0,166.37,168.95,158.25,175.85,166.37,163.97,181.4,158.25,174.95,179.28
2023,365,35040,88.28,0.0,220.0,39.93,87.11,1.17,0,90.56,86.64,81.38,94.01,90.56,83.04,95.65,81.38,94.14,93.51
2024,366,35136,63.46,-2.0,193.0,45.57,63.05,0.41,196,68.49,59.87,58.47,67.57,68.49,56.68,67.84,58.47,67.75,66.87
2025,365,35040,66.18,-5.0,240.0,46.55,65.28,0.9,200,74.88,59.97,62.65,69.1,74.88,55.35,71.54,62.65,69.91,66.05
2026,255,24476,69.24,-10.0,300.0,63.85,69.31,-0.08,584,91.76,53.16,74.18,65.17,91.76,48.3,65.3,74.18,70.03,45.7
