dia,data_iso,dias,quartos,pt_medio,pt_min,pt_max,pt_desvio,es_medio,spread_pt_es,horas_negativas,bd_v,bd_f,bs_v,bs_f,td_v,td_c,td_p,ts_v,ts_c,ts_p
01/01/2010,2010-01-01,1,96,7.2,0.0,30.8,11.88,6.77,0.43,0,4.94,8.82,0.0,10.17,4.94,5.58,16.91,0.0,8.57,14.0
02/01/2010,2010-01-02,1,96,20.18,0.0,83.1,23.84,24.12,-3.95,0,2.76,32.62,12.16,39.64,2.76,23.72,54.87,12.16,39.64,
03/01/2010,2010-01-03,1,96,19.94,0.0,83.01,21.79,24.42,-4.48,0,6.13,29.81,19.94,,6.13,26.6,37.85,19.94,,
04/01/2010,2010-01-04,1,96,29.8,0.56,58.0,15.59,36.72,-6.92,0,16.36,39.39,13.12,36.66,16.36,36.87,45.69,13.12,33.5,44.26
05/01/2010,2010-01-05,1,96,30.29,1.03,57.86,13.9,30.32,-0.03,0,19.0,38.35,13.37,37.25,19.0,35.62,45.16,13.37,33.71,45.76
06/01/2010,2010-01-06,1,96,31.46,9.79,89.73,19.77,31.49,-0.03,0,21.9,38.29,17.02,37.41,21.9,34.88,46.82,17.02,32.79,48.5
07/01/2010,2010-01-07,1,96,32.73,1.0,64.4,17.32,33.38,-0.65,0,16.63,44.24,14.68,40.17,16.63,41.7,50.59,14.68,35.04,52.46
08/01/2010,2010-01-08,1,96,27.27,0.0,70.4,21.51,27.27,0.0,0,9.81,39.74,1.07,38.05,9.81,33.98,54.13,1.07,33.08,49.99
09/01/2010,2010-01-09,1,96,29.23,0.1,92.5,24.85,29.23,0.0,0,11.75,41.72,19.93,51.83,11.75,34.1,60.78,19.93,51.83,
10/01/2010,2010-01-10,1,96,20.24,1.0,108.0,23.98,30.12,-9.88,0,14.84,24.11,20.24,,14.84,17.9,39.62,20.24,,
11/01/2010,2010-01-11,1,96,34.25,0.56,87.07,20.18,34.61,-0.36,0,16.55,46.9,9.75,44.34,16.55,43.14,56.29,9.75,41.54,51.06
12/01/2010,2010-01-12,1,96,27.14,0.0,85.81,21.43,28.95,-1.81,0,6.72,41.73,1.43,37.72,6.72,38.49,49.82,1.43,32.0,51.47
13/01/2010,2010-01-13,1,96,33.77,0.0,91.02,27.01,33.77,0.0,0,11.44,49.72,4.06,46.0,11.44,41.96,69.14,4.06,38.9,63.05
14/01/2010,2010-01-14,1,96,24.64,0.0,87.07,23.21,25.9,-1.27,0,5.91,38.02,0.0,34.78,5.91,31.67,53.88,0.0,27.14,53.13
15/01/2010,2010-01-15,1,96,32.6,0.0,91.0,25.08,33.41,-0.81,0,12.4,47.03,4.25,44.27,12.4,39.1,66.86,4.25,37.8,59.8
16/01/2010,2010-01-16,1,96,23.68,0.0,75.5,22.08,26.86,-3.18,0,8.78,34.32,15.87,42.64,8.78,27.8,50.6,15.87,42.64,
17/01/2010,2010-01-17,1,96,18.67,0.0,70.5,21.05,28.27,-9.6,0,11.46,23.82,18.67,,11.46,19.39,34.88,18.67,,
18/01/2010,2010-01-18,1,96,29.61,0.0,85.01,21.83,33.15,-3.54,0,9.32,44.09,0.0,41.8,9.32,39.85,54.7,0.0,38.97,48.58
19/01/2010,2010-01-19,1,96,35.88,0.0,180.3,34.68,29.27,6.6,0,15.36,50.53,9.22,46.85,15.36,37.79,82.36,9.22,36.29,72.21
