mes,dias,quartos,pt_medio,pt_min,pt_max,pt_desvio,es_medio,spread_pt_es,horas_negativas,bd_v,bd_f,bs_v,bs_f,td_v,td_c,td_p,ts_v,ts_c,ts_p
01/2010,31,2976,27.74,0.0,180.3,20.06,29.09,-1.35,0,14.68,37.06,16.07,38.22,14.68,32.8,47.73,16.07,34.86,47.41
02/2010,28,2688,27.75,0.0,92.5,14.87,27.64,0.11,0,20.11,33.21,19.56,34.52,20.11,30.05,41.11,19.56,31.51,42.57
03/2010,31,2972,20.14,0.0,180.3,15.07,19.66,0.48,0,12.44,25.62,13.6,25.2,12.44,22.57,33.25,13.6,21.77,34.97
04/2010,30,2880,26.17,0.0,52.5,12.15,27.43,-1.26,0,22.06,29.1,20.77,30.44,22.06,27.92,32.05,20.77,29.71,34.12
05/2010,31,2976,37.15,0.1,51.68,8.13,37.3,-0.14,0,34.2,39.26,32.95,40.92,34.2,38.58,40.96,32.95,40.37,43.78
06/2010,30,2880,40.8,10.0,55.98,7.25,40.12,0.67,0,36.82,43.64,36.23,44.41,36.82,43.04,45.12,36.23,43.65,48.27
07/2010,31,2976,43.98,26.5,64.99,4.65,42.91,1.07,0,40.8,46.26,40.89,46.52,40.8,45.93,47.07,40.89,45.84,50.01
08/2010,31,2976,44.46,29.92,55.55,5.33,42.93,1.53,0,40.64,47.19,40.6,47.75,40.64,46.78,48.22,40.6,47.29,50.12
09/2010,30,2880,48.4,29.02,69.56,6.59,46.45,1.94,0,43.86,51.64,43.72,52.1,43.86,50.91,53.46,43.72,51.64,54.4
10/2010,31,2980,44.15,0.5,57.21,8.67,42.6,1.56,0,40.88,46.5,39.15,48.66,40.88,45.61,48.73,39.15,48.51,49.45
11/2010,30,2880,41.53,0.1,86.75,12.11,40.97,0.56,0,35.42,45.89,35.17,46.56,35.42,44.12,50.3,35.17,44.89,51.0
12/2010,31,2976,44.99,0.0,103.5,14.35,46.36,-1.37,0,36.69,50.92,37.52,50.79,36.69,48.95,55.85,37.52,48.94,55.68
01/2011,31,2976,41.26,0.0,100.0,15.78,41.18,0.08,0,33.05,47.12,34.93,46.94,33.05,45.08,52.21,34.93,45.01,52.2
02/2011,28,2688,47.91,20.0,64.5,7.38,48.03,-0.12,0,44.12,50.61,43.62,51.44,44.12,49.55,53.26,43.62,50.72,53.39
03/2011,31,2972,47.33,0.5,60.9,6.65,46.71,0.62,0,43.96,49.73,43.7,50.13,43.96,48.77,52.12,43.7,49.39,52.31
04/2011,30,2880,46.85,17.07,61.26,6.52,45.45,1.4,0,44.28,48.68,43.22,49.88,44.28,47.91,50.59,43.22,49.6,51.36
05/2011,31,2976,49.02,0.5,58.17,6.37,48.89,0.13,0,46.72,50.65,45.54,51.97,46.72,50.22,51.74,45.54,51.77,53.02
06/2011,30,2880,50.65,30.23,59.5,4.45,50.01,0.64,0,48.23,52.38,48.27,52.54,48.23,52.08,53.12,48.27,52.29,53.79
07/2011,31,2976,51.15,28.07,64.89,5.58,50.81,0.34,0,48.01,53.4,47.6,54.34,48.01,53.03,54.31,47.6,53.93,56.5
08/2011,31,2976,53.6,31.05,68.21,5.25,53.54,0.07,0,50.16,56.06,50.1,56.32,50.16,55.69,57.0,50.1,55.92,58.35
09/2011,30,2880,58.58,30.05,75.36,7.92,58.49,0.09,0,53.0,62.57,52.26,63.58,53.0,61.85,64.36,52.26,63.17,65.68
10/2011,31,2980,59.21,10.07,82.5,10.19,57.45,1.76,0,53.17,63.54,52.67,65.1,53.17,62.63,65.82,52.67,64.63,67.49
11/2011,30,2880,49.09,0.1,91.01,13.39,48.37,0.72,0,42.73,53.64,40.62,55.79,42.73,51.98,57.78,40.62,54.27,59.84
12/2011,31,2976,50.66,10.0,89.9,9.74,50.06,0.6,0,44.49,55.07,44.51,55.7,44.49,54.03,57.69,44.51,55.04,57.48
01/2012,31,2976,51.94,0.0,79.0,10.96,51.07,0.87,0,45.21,56.75,45.24,57.64,45.21,55.6,59.62,45.24,56.78,59.93
02/2012,29,2784,55.27,3.0,90.13,12.81,53.48,1.79,0,47.02,61.16,46.29,62.53,47.02,58.85,66.95,46.29,60.6,67.67
03/2012,31,2972,49.12,10.0,73.25,10.66,47.57,1.55,0,43.71,52.97,42.08,54.87,43.71,51.08,57.69,42.08,53.39,59.44
04/2012,30,2880,43.97,0.13,70.52,11.39,41.2,2.77,0,41.57,45.68,39.97,47.44,41.57,43.81,50.36,39.97,46.36,53.0
05/2012,31,2976,44.53,7.07,69.69,10.07,43.59,0.94,0,41.71,46.55,39.2,48.67,41.71,45.46,49.26,39.2,48.13,51.41
06/2012,30,2880,53.53,22.06,70.2,7.57,53.49,0.03,0,50.66,55.57,49.04,57.28,50.66,54.54,58.13,49.04,56.28,62.48
07/2012,31,2976,50.35,15.07,70.0,7.88,50.29,0.06,0,46.94,52.79,45.27,54.67,46.94,52.04,54.66,45.27,53.95,58.38
08/2012,31,2976,49.31,10.06,66.1,7.12,49.31,-0.0,0,45.99,51.68,45.02,52.64,45.99,51.2,52.88,45.02,52.26,54.59
09/2012,30,2880,48.53,7.13,70.01,10.24,47.63,0.9,0,43.46,52.16,43.23,53.41,43.46,51.41,54.01,43.23,53.16,54.76
10/2012,31,2980,46.06,0.0,75.9,12.8,45.6,0.46,0,41.16,49.56,38.54,51.91,41.16,48.71,51.7,38.54,51.23,55.02
11/2012,30,2880,42.43,0.0,76.37,13.97,42.11,0.32,0,34.54,48.06,35.14,48.2,34.54,46.72,51.41,35.14,47.18,50.89
12/2012,31,2976,42.16,0.5,84.2,18.15,41.72,0.45,0,33.53,48.33,34.34,49.19,33.53,46.7,52.41,34.34,47.87,52.83
01/2013,31,2976,48.54,0.0,87.54,18.74,50.52,-1.97,0,37.47,56.45,36.85,57.61,37.47,54.6,61.1,36.85,55.47,63.26
02/2013,28,2688,43.72,0.0,90.0,18.23,45.03,-1.31,0,37.46,48.19,34.91,51.0,37.46,45.88,53.96,34.91,49.14,55.97
03/2013,31,2972,22.76,0.0,90.0,19.95,25.86,-3.1,0,16.6,27.15,16.76,28.14,16.6,25.02,32.47,16.76,25.64,34.97
04/2013,30,2880,16.15,0.0,90.0,18.22,18.23,-2.08,0,12.44,18.79,9.34,21.52,12.44,17.52,21.97,9.34,20.9,24.69
05/2013,31,2976,43.24,16.7,60.98,8.26,43.44,-0.2,0,40.53,45.17,38.9,46.6,40.53,44.34,47.26,38.9,45.97,49.78
06/2013,30,2880,41.71,4.93,57.25,11.07,40.88,0.83,0,37.38,44.8,35.11,47.78,37.38,44.06,46.66,35.11,47.3,50.33
07/2013,31,2976,51.41,21.77,68.69,9.64,51.17,0.24,0,46.13,55.18,44.65,56.64,46.13,54.71,56.36,44.65,56.27,58.55
08/2013,31,2976,48.12,22.82,62.8,7.8,48.1,0.03,0,42.85,51.89,42.58,52.66,42.85,51.4,53.11,42.58,52.21,55.01
09/2013,30,2880,50.67,20.56,72.0,11.29,50.19,0.48,0,44.39,55.15,43.28,57.1,44.39,54.21,57.51,43.28,56.57,59.79
10/2013,31,2980,51.6,3.05,79.99,12.97,51.51,0.09,0,44.38,56.77,44.03,57.49,44.38,55.82,59.14,44.03,57.18,58.85
11/2013,30,2880,42.09,0.0,72.08,12.94,41.79,0.3,0,35.24,46.98,35.74,47.4,35.24,45.6,50.44,35.74,46.26,50.52
12/2013,31,2976,62.95,0.0,112.0,31.1,63.6,-0.65,0,52.04,70.74,55.91,68.93,52.04,68.74,75.72,55.91,67.79,71.95
01/2014,31,2976,31.48,0.0,96.3,20.57,33.62,-2.15,0,21.1,38.89,20.12,40.29,21.1,36.49,44.89,20.12,37.83,46.79
02/2014,28,2688,15.36,0.0,110.0,18.26,17.09,-1.73,0,6.93,21.38,7.71,21.68,6.93,17.91,30.04,7.71,18.59,29.96
03/2014,31,2972,26.23,0.0,90.0,16.89,26.7,-0.47,0,21.55,29.56,18.29,33.33,21.55,27.52,34.64,18.29,31.27,39.11
04/2014,30,2880,26.38,2.98,50.0,11.34,26.46,-0.08,0,23.64,28.33,20.31,31.18,23.64,27.16,31.25,20.31,30.55,34.38
