ano,dias,consumo_gwh,producao_nac_gwh,renovavel_gwh,hidrica_gwh,hidrica_renov_gwh,eolica_gwh,solar_gwh,biomassa_gwh,gas_natural_gwh,carvao_gwh,outra_termica_gwh,baterias_inj_gwh,bombagem_consumo_gwh,saldo_importador_gwh,pico_consumo_mw,perc_renovavel
2010,365,52195.39,50253.61,27319.63,16266.04,15830.04,9024.27,203.8,2261.52,14459.31,6614.55,1424.12,0.0,511.75,2623.39,9402.7,54.36
2011,365,50498.57,48563.27,23112.6,11851.29,11270.29,9002.76,262.17,2577.38,14404.7,9170.18,1294.8,0.0,737.44,2812.89,9191.7,47.59
2012,366,49060.32,42690.25,18372.49,6485.59,5380.59,10011.27,357.4,2623.23,10274.72,12156.3,781.74,0.0,1387.8,7894.71,8554.4,43.04
2013,365,49150.43,47962.85,28411.77,14673.56,13517.56,11751.17,442.41,2700.63,6977.41,10982.81,434.87,0.0,1458.04,2776.47,8322.5,59.24
2014,365,48825.09,49130.09,30450.76,16204.98,15348.98,11813.01,595.72,2693.05,6387.97,11099.28,336.08,0.0,1079.49,902.39,8313.4,61.98
2015,365,48964.24,48284.56,23230.86,9655.87,8518.87,11334.32,759.53,2618.14,9871.0,13689.6,356.1,0.0,1466.95,2266.08,8618.2,48.11
2016,366,49274.4,56022.87,31076.75,16670.52,15456.52,12187.86,786.09,2646.28,11635.02,11739.66,357.44,0.0,1519.28,-5084.8,8141.5,55.47
2017,365,49638.38,54665.12,21259.69,7392.77,5617.77,11972.79,853.37,2815.76,17695.37,13624.27,310.79,0.0,2222.55,-2683.97,8771.3,38.89
2018,365,50905.12,55293.76,28085.26,13405.84,12151.84,12351.04,828.85,2753.53,14568.24,11165.45,220.81,0.0,1581.76,-2656.94,8793.9,50.79
2019,365,50348.71,48968.35,25997.7,10099.18,8653.18,13423.2,1062.38,2858.95,16127.1,5173.8,223.75,0.0,1825.46,3399.17,8649.6,53.09
2020,366,48813.29,49527.84,28828.64,13863.57,12253.57,12067.09,1269.96,3238.02,16607.0,2220.52,261.68,0.0,1986.19,1456.26,8906.0,58.21
2021,365,49469.72,46832.65,29733.34,13256.31,11660.31,12918.71,1718.94,3435.38,14538.24,731.17,233.9,0.0,1988.1,4752.98,9882.6,63.49
2022,365,50308.2,44078.67,25167.97,8683.34,6391.34,12936.28,2531.82,3308.53,16425.65,0.0,193.05,0.0,2937.49,9253.42,8593.2,57.1
2023,365,50703.11,44199.76,31230.94,14705.9,11820.9,12926.53,3588.58,2894.93,9892.15,0.0,191.68,0.0,3625.3,10233.12,9361.9,70.66
2024,366,51406.92,45805.0,36812.86,18421.84,14598.84,14143.43,4908.14,3162.45,4922.54,0.0,246.58,0.02,4743.77,10465.12,9739.3,80.37
2025,365,53045.25,48991.92,36952.85,18653.61,14563.61,13485.36,6107.06,2796.82,7720.68,0.0,221.31,7.08,5118.63,9291.15,9412.9,75.43
2026,254,37710.02,34015.62,25247.05,12850.62,9494.62,8855.03,5080.4,1816.99,5239.5,0.0,159.42,13.65,4283.94,8019.22,10268.8,74.22
