dia,data_iso,consumo_gwh,producao_nac_gwh,renovavel_gwh,hidrica_gwh,hidrica_renov_gwh,eolica_gwh,solar_gwh,biomassa_gwh,gas_natural_gwh,carvao_gwh,outra_termica_gwh,baterias_inj_gwh,bombagem_consumo_gwh,saldo_importador_gwh,pico_consumo_mw,perc_renovavel
01/01/2010,2010-01-01,122.23,152.3,122.91,77.85,77.85,39.77,0.34,4.94,21.38,7.2,0.82,0.0,4.48,-24.93,6360.5,80.7
02/01/2010,2010-01-02,133.98,157.27,120.81,84.28,82.28,33.43,0.13,4.99,14.05,18.91,1.5,0.0,0.85,-21.69,7187.4,76.82
03/01/2010,2010-01-03,131.86,167.52,117.58,84.04,83.04,29.49,0.03,5.03,20.34,27.03,1.57,0.0,2.49,-32.49,7006.2,70.19
04/01/2010,2010-01-04,159.63,179.84,124.7,86.26,85.26,34.21,0.22,5.02,27.21,22.37,4.56,0.0,1.42,-18.11,8294.5,69.34
05/01/2010,2010-01-05,164.7,172.63,116.55,84.39,84.39,26.9,0.09,5.16,26.97,24.97,4.15,0.0,1.31,-6.05,8515.3,67.51
06/01/2010,2010-01-06,169.55,173.15,104.65,91.12,88.12,11.65,0.05,4.83,31.82,28.78,4.89,0.0,0.03,-3.02,8723.5,60.44
07/01/2010,2010-01-07,171.45,187.88,122.31,81.59,75.59,41.04,0.3,5.39,27.88,27.03,4.65,0.0,0.4,-15.34,8993.5,65.1
08/01/2010,2010-01-08,174.64,183.82,122.7,83.09,77.09,39.42,0.54,5.64,28.01,22.38,4.74,0.0,0.21,-8.36,9005.3,66.75
09/01/2010,2010-01-09,155.88,165.29,103.97,91.83,85.83,11.67,0.52,5.95,27.8,24.11,3.42,0.0,0.72,-7.82,8335.3,62.9
10/01/2010,2010-01-10,155.99,181.12,130.86,83.39,79.39,45.53,0.05,5.88,23.71,20.95,1.6,0.0,0.0,-24.34,8344.3,72.25
11/01/2010,2010-01-11,179.03,189.69,108.65,93.98,87.98,14.8,0.15,5.72,41.26,28.74,5.04,0.0,0.36,-9.73,9402.7,57.28
12/01/2010,2010-01-12,182.66,196.75,138.04,81.0,79.0,53.6,0.02,5.43,32.91,19.36,4.43,0.0,0.72,-12.77,9189.7,70.16
13/01/2010,2010-01-13,178.51,190.58,134.57,79.62,78.62,50.56,0.04,5.34,30.7,20.0,4.32,0.0,0.25,-11.26,8948.7,70.61
14/01/2010,2010-01-14,170.38,187.71,135.36,83.39,82.39,47.27,0.36,5.35,30.79,14.08,6.47,0.0,0.0,-16.6,8604.2,72.11
15/01/2010,2010-01-15,173.52,192.24,132.18,94.91,94.91,31.91,0.13,5.22,32.54,23.25,4.28,0.0,0.0,-18.26,8643.9,68.76
16/01/2010,2010-01-16,150.93,173.1,131.46,89.64,89.64,36.24,0.07,5.51,20.68,18.17,2.79,0.0,0.0,-21.61,7587.0,75.95
17/01/2010,2010-01-17,136.7,161.37,120.57,96.19,96.19,18.97,0.11,5.3,26.41,13.26,1.14,0.0,0.0,-24.11,7091.7,74.72
18/01/2010,2010-01-18,162.36,171.62,123.18,86.48,86.48,31.3,0.1,5.31,27.16,17.31,3.97,0.0,0.0,-8.66,8289.4,71.78
19/01/2010,2010-01-19,162.54,163.86,118.81,80.89,80.89,32.41,0.16,5.35,29.96,10.97,4.12,0.0,0.0,-0.82,8143.2,72.5
20/01/2010,2010-01-20,160.96,158.01,106.58,83.18,83.18,18.4,0.27,4.74,33.83,13.36,4.24,0.0,0.0,3.45,8113.6,67.45
21/01/2010,2010-01-21,162.83,166.39,107.97,91.9,91.9,11.38,0.27,4.42,35.29,18.91,4.22,0.0,0.08,-3.04,8238.6,64.89
22/01/2010,2010-01-22,161.03,166.81,107.68,89.45,88.45,14.58,0.24,4.42,34.92,18.78,4.42,0.0,0.73,-4.62,7958.0,64.56
23/01/2010,2010-01-23,141.26,157.41,113.86,91.33,91.33,17.87,0.17,4.5,27.44,13.78,2.33,0.0,0.0,-15.69,7238.1,72.34
24/01/2010,2010-01-24,130.23,150.61,114.47,86.46,86.46,23.35,0.41,4.25,19.62,15.33,1.19,0.0,0.23,-19.65,6893.4,76.01
25/01/2010,2010-01-25,159.53,159.41,110.31,75.32,74.32,31.31,0.55,4.13,26.26,17.58,4.26,0.0,1.11,1.73,8339.2,69.2
26/01/2010,2010-01-26,168.13,171.18,130.16,70.12,70.12,55.48,0.27,4.29,25.45,11.18,4.4,0.0,2.2,-0.36,8664.7,76.03
27/01/2010,2010-01-27,170.61,172.81,130.08,73.0,71.0,54.16,0.52,4.4,30.75,5.52,4.45,0.0,1.15,-0.41,8885.5,75.27
28/01/2010,2010-01-28,169.6,152.81,102.05,71.19,70.19,26.72,0.59,4.55,41.62,3.7,4.45,0.0,0.88,18.25,8761.2,66.78
29/01/2010,2010-01-29,170.87,153.53,111.85,63.71,62.71,44.43,0.47,4.24,33.9,2.55,4.24,0.0,1.76,19.71,8590.5,72.85
30/01/2010,2010-01-30,149.25,137.69,105.5,73.86,72.86,27.8,0.38,4.46,28.03,0.87,2.29,0.0,1.05,13.32,7736.0,76.62
31/01/2010,2010-01-31,138.29,129.85,94.01,70.89,69.89,19.35,0.26,4.52,32.35,1.19,1.3,0.0,1.0,10.17,7373.9,72.4
01/02/2010,2010-02-01,163.56,153.93,94.63,72.8,71.8,17.44,0.61,4.79,41.78,12.27,4.24,0.0,1.66,11.89,8553.9,61.48
02/02/2010,2010-02-02,166.37,156.85,91.97,64.27,62.27,24.39,0.61,4.7,37.73,20.85,4.31,0.0,2.27,12.1,8535.6,58.64
03/02/2010,2010-02-03,171.26,153.71,97.62,67.45,66.45,26.62,0.11,4.44,39.65,10.96,4.48,0.0,1.56,19.65,8764.1,63.51
04/02/2010,2010-02-04,171.47,152.53,110.24,64.88,63.88,41.66,0.13,4.57,35.08,1.63,4.59,0.0,0.86,20.57,8644.2,72.27
05/02/2010,2010-02-05,164.71,148.3,110.24,57.21,56.21,48.39,0.44,5.2,30.46,2.09,4.51,0.0,2.23,19.41,8216.0,74.34
06/02/2010,2010-02-06,142.02,124.55,80.09,64.14,63.14,10.73,0.5,5.72,32.39,8.63,2.44,0.0,0.5,18.48,7306.4,64.3
07/02/2010,2010-02-07,134.37,134.22,84.85,62.06,61.06,18.01,0.24,5.54,33.31,13.59,1.47,0.0,0.82,1.5,7135.6,63.22
08/02/2010,2010-02-08,158.46,151.45,82.63,58.18,57.18,19.55,0.32,5.58,40.86,21.26,5.7,0.0,1.63,9.1,8206.2,54.56
09/02/2010,2010-02-09,161.96,140.64,83.81,54.36,52.36,25.82,0.33,5.3,37.93,12.13,4.77,0.0,2.08,23.97,8189.8,59.59
10/02/2010,2010-02-10,167.14,151.11,81.22,61.0,61.0,14.58,0.1,5.55,46.28,18.8,4.81,0.0,0.22,16.66,8463.6,53.75
11/02/2010,2010-02-11,164.36,138.81,75.52,50.69,48.69,20.6,0.59,5.64,37.76,18.69,4.84,0.0,3.35,29.4,8439.4,54.41
12/02/2010,2010-02-12,173.38,177.24,119.93,64.04,61.04,53.22,0.09,5.58,37.76,11.96,4.59,0.0,2.71,-0.63,8902.2,67.67
13/02/2010,2010-02-13,152.03,178.38,113.45,71.94,70.94,36.13,0.64,5.73,46.59,15.3,2.04,0.0,0.74,-25.1,7977.3,63.6
14/02/2010,2010-02-14,147.73,176.54,121.36,60.07,60.07,55.42,0.21,5.66,41.13,12.73,1.31,0.0,0.54,-27.82,7937.3,68.75
15/02/2010,2010-02-15,168.25,197.19,130.99,68.67,66.67,58.69,0.14,5.49,44.76,14.97,4.47,0.0,2.09,-26.31,8796.2,66.43
16/02/2010,2010-02-16,145.71,148.28,84.86,57.33,56.33,22.58,0.17,5.78,41.16,16.76,4.5,0.0,1.14,-0.79,7743.0,57.23
17/02/2010,2010-02-17,169.07,160.19,92.7,66.84,66.84,19.82,0.25,5.79,45.93,16.42,5.14,0.0,0.58,9.82,8799.9,57.87
18/02/2010,2010-02-18,174.19,168.69,97.68,77.77,76.77,14.98,0.06,5.86,44.14,20.73,5.13,0.0,1.19,7.11,9046.6,57.9
19/02/2010,2010-02-19,169.21,170.96,107.82,73.61,72.61,28.67,0.57,5.97,41.04,16.33,4.77,0.0,1.71,0.44,8647.2,63.07
20/02/2010,2010-02-20,150.0,156.15,116.91,82.37,82.37,27.96,0.48,6.1,31.27,5.56,2.41,0.0,0.04,-5.58,7888.4,74.87
21/02/2010,2010-02-21,137.87,151.09,129.8,74.19,72.19,51.42,0.26,5.93,17.07,0.69,1.53,0.0,2.06,-10.41,7298.8,85.91
22/02/2010,2010-02-22,161.56,171.08,138.29,71.36,69.36,62.83,0.34,5.76,22.34,3.91,4.54,0.0,2.27,-6.5,8398.5,80.83
23/02/2010,2010-02-23,163.49,162.67,138.56,71.36,70.36,61.98,0.38,5.84,17.27,1.48,4.37,0.0,1.91,3.48,8376.3,85.18
24/02/2010,2010-02-24,163.99,166.45,136.72,74.21,73.21,57.28,0.46,5.77,17.59,6.67,4.46,0.0,1.54,-0.28,8367.3,82.14
25/02/2010,2010-02-25,161.45,164.82,137.91,71.67,71.67,60.19,0.14,5.9,19.0,3.47,4.44,0.0,0.3,-2.41,8083.8,83.67
26/02/2010,2010-02-26,158.31,156.55,109.83,82.99,82.99,20.61,0.15,6.07,33.82,7.41,5.49,0.0,0.05,2.48,7928.4,70.15
27/02/2010,2010-02-27,134.99,149.15,126.01,69.59,69.59,50.56,0.17,5.69,20.72,0.0,2.43,0.0,0.0,-13.41,6774.9,84.48
28/02/2010,2010-02-28,132.69,138.69,115.12,76.28,76.28,32.69,0.35,5.8,21.74,0.0,1.82,0.0,0.0,-5.36,7153.3,83.01
01/03/2010,2010-03-01,155.63,147.64,113.68,76.96,76.96,30.4,0.47,5.86,24.8,4.49,4.66,0.0,0.0,8.73,8024.1,77.0
02/03/2010,2010-03-02,161.15,171.2,140.28,75.06,75.06,59.22,0.16,5.84,23.79,2.47,4.66,0.0,0.0,-9.4,8290.0,81.94
03/03/2010,2010-03-03,160.63,162.76,113.3,89.39,89.39,17.9,0.21,5.8,36.36,8.28,4.83,0.0,0.0,-1.56,8140.9,69.61
04/03/2010,2010-03-04,157.52,146.56,99.83,91.09,91.09,2.75,0.33,5.66,36.71,5.22,4.79,0.0,0.0,11.61,7991.9,68.12
05/03/2010,2010-03-05,162.5,179.87,133.75,85.21,85.21,42.82,0.1,5.62,37.39,3.82,4.91,0.0,0.0,-16.83,8237.5,74.36
