mes,dias,consumo_gwh,producao_nac_gwh,renovavel_gwh,hidrica_gwh,hidrica_renov_gwh,eolica_gwh,solar_gwh,biomassa_gwh,gas_natural_gwh,carvao_gwh,outra_termica_gwh,baterias_inj_gwh,bombagem_consumo_gwh,saldo_importador_gwh,pico_consumo_mw,perc_renovavel
01/2010,31,4919.12,5224.27,3664.39,2574.31,2527.31,974.99,7.81,154.28,891.02,511.61,110.25,0.0,23.4,-263.11,9402.7,70.14
02/2010,28,4429.58,4400.21,3010.76,1891.32,1863.32,982.83,8.86,155.75,956.55,295.28,109.61,0.0,36.04,81.44,9046.6,68.42
03/2010,31,4570.04,4591.83,3408.03,2326.46,2298.46,915.4,13.74,180.43,943.5,84.49,127.82,0.0,34.2,31.75,8391.5,74.22
04/2010,30,3992.99,3998.95,2788.54,1988.67,1959.67,616.14,19.06,193.67,898.62,164.26,118.53,0.0,35.71,45.9,7147.5,69.73
05/2010,31,4067.97,4054.32,2390.62,1503.51,1474.51,703.35,23.21,189.55,1319.73,205.09,109.88,0.0,35.39,63.71,7162.0,58.96
06/2010,30,4006.23,3629.22,1709.83,960.92,942.92,548.58,22.84,195.49,1321.96,463.0,116.42,0.0,26.41,415.37,7507.4,47.11
07/2010,31,4455.38,3902.9,1528.42,742.72,725.72,585.25,26.41,191.05,1600.46,633.8,123.21,0.0,22.33,585.73,7911.7,39.16
08/2010,31,4223.36,3658.54,1184.12,457.85,414.85,543.35,23.62,202.29,1399.36,913.81,118.25,0.0,53.25,627.74,7456.3,32.37
09/2010,30,4166.76,3697.71,1070.03,510.14,474.14,386.29,20.3,189.3,1414.58,1058.81,118.29,0.0,49.86,528.83,7454.9,28.94
10/2010,31,4109.78,3576.62,1458.5,572.44,508.44,726.99,16.78,206.29,1241.99,706.56,105.56,0.0,85.12,630.47,7240.5,40.78
11/2010,30,4350.11,4209.67,2029.92,1000.25,925.25,897.01,12.07,195.59,1286.89,681.41,136.45,0.0,82.74,238.54,8928.6,48.22
12/2010,31,4904.06,5309.38,3076.46,1737.44,1715.44,1144.08,9.12,207.81,1184.64,896.43,129.85,0.0,27.29,-362.96,9031.5,57.94
01/2011,31,4910.37,4910.82,3425.66,2302.81,2278.81,919.77,10.3,216.78,1144.25,191.1,125.81,0.0,32.81,50.66,9191.7,69.76
02/2011,28,4327.83,4524.3,2423.53,1448.54,1425.54,809.39,15.42,173.18,1367.05,600.29,110.43,0.0,28.17,-155.82,9063.6,53.57
03/2011,31,4431.15,4471.43,2617.64,1538.69,1508.69,874.96,18.24,215.76,1417.25,285.21,121.32,0.0,36.17,11.69,7979.3,58.54
04/2011,30,3886.89,3454.54,2114.05,1219.76,1180.76,702.34,21.84,209.11,1100.4,96.56,104.53,0.0,53.78,501.53,6855.5,61.2
