dia,data_iso,leilao,zona,contrato,tipo,estado,preco_eur_t,minimo_eur_t,maximo_eur_t,mediana_eur_t,volume_tco2,racio_cobertura,licitantes,receita_eur,receita_pt_eur
07/01/2020,2020-01-07,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.06,23.61,26.0,24.15,2717500,1.52,24,65383050,1792470
09/01/2020,2020-01-09,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.01,21.0,27.0,24.01,2717500,1.87,28,65247175,1788745
10/01/2020,2020-01-10,Auction 3. Period DE,,T3PA,EUA,successful,24.48,21.0,27.0,24.47,2363000,1.84,27,57846240,
13/01/2020,2020-01-13,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.03,23.31,27.0,23.91,2717500,2.22,27,65301525,1790235
14/01/2020,2020-01-14,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.74,21.0,26.0,23.65,2717500,1.96,26,64513450,1768630
15/01/2020,2020-01-15,Auction 3. Period CAP2-PL,,T3PA,EUA,successful,24.2,23.52,28.0,24.03,5332000,1.76,26,129034400,
15/01/2020,2020-01-15,EUAA Auction CAP2-EU,,EAA3,EUAA,successful,24.08,23.21,24.3,23.91,810500,3.89,8,19516840,529760
16/01/2020,2020-01-16,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.85,21.0,27.05,24.72,2717500,2.08,29,67529875,1851325
17/01/2020,2020-01-17,Auction 3. Period DE,,T3PA,EUA,successful,25.01,21.0,28.0,24.81,2363000,2.49,23,59098630,
20/01/2020,2020-01-20,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,25.6,21.0,27.5,25.67,2717500,1.58,24,69568000,1907200
21/01/2020,2020-01-21,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,25.1,24.4,27.0,25.1,2717500,1.79,25,68209250,1869950
23/01/2020,2020-01-23,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.65,24.0,28.0,24.55,2717500,1.86,29,66986375,1836425
24/01/2020,2020-01-24,Auction 3. Period DE,,T3PA,EUA,successful,24.48,23.9,28.0,24.46,2363000,1.98,21,57846240,
27/01/2020,2020-01-27,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.04,21.0,28.0,23.96,2717500,2.05,29,65328700,1790980
28/01/2020,2020-01-28,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.55,23.93,28.4,24.38,2717500,2.05,27,66714625,1828975
29/01/2020,2020-01-29,Auction 3. Period CAP2-PL,,T3PA,EUA,successful,24.04,21.0,28.0,24.24,5332000,1.2,25,128181280,
30/01/2020,2020-01-30,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.74,23.16,28.0,23.66,2717500,2.07,28,64513450,1768630
31/01/2020,2020-01-31,Auction 3. Period DE,,T3PA,EUA,successful,23.48,21.0,28.0,23.5,2363000,1.98,27,55483240,
03/02/2020,2020-02-03,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.2,22.7,28.0,23.18,2717500,2.03,27,63046000,1728400
04/02/2020,2020-02-04,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.33,22.7,28.0,23.19,2717500,2.38,28,63399275,1738085
06/02/2020,2020-02-06,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.4,21.0,28.5,23.36,2717500,2.02,31,63589500,1743300
07/02/2020,2020-02-07,Auction 3. Period DE,,T3PA,EUA,successful,23.17,21.0,30.0,23.15,2363000,2.26,28,54750710,
10/02/2020,2020-02-10,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,22.91,21.0,30.0,22.88,2717500,2.82,27,62257925,1706795
11/02/2020,2020-02-11,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.15,22.71,30.0,23.14,2717500,2.25,24,62910125,1724675
12/02/2020,2020-02-12,Auction 3. Period CAP2-PL,,T3PA,EUA,successful,23.35,22.75,30.55,23.17,5332000,2.42,20,124502200,
13/02/2020,2020-02-13,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,23.52,21.0,29.8,23.5,2717500,2.51,25,63915600,1752240
14/02/2020,2020-02-14,Auction 3. Period DE,,T3PA,EUA,successful,24.27,21.0,28.0,24.18,2363000,2.41,22,57350010,
17/02/2020,2020-02-17,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.11,21.0,26.55,24.07,2717500,1.94,27,65518925,1796195
18/02/2020,2020-02-18,Auction 3. Period CAP2-EU,,T3PA,EUA,successful,24.8,24.11,28.75,24.73,2717500,1.87,24,67394000,1847600
