ano,dias,intensidade_gco2_kwh,emissoes_kt,producao_gwh,consumo_gwh,saldo_importador_gwh,bombagem_gwh,importacao_perc_consumo,intensidade_min,intensidade_max
2010,365,289.0,14525.5,50253.61,52195.39,2623.39,511.75,8.34,61.4,601.3
2011,365,339.2,16473.1,48563.27,50498.57,2812.89,737.44,8.82,64.6,612.6
2012,366,385.0,16436.3,42690.25,49060.32,7894.71,1387.8,16.92,89.5,625.1
2013,365,288.8,13853.1,47962.85,49150.43,2776.47,1458.04,10.65,75.4,610.9
2014,365,277.5,13633.6,49130.09,48825.09,902.39,1079.49,8.34,70.9,611.5
2015,365,358.4,17306.6,48284.56,48964.24,2266.08,1466.95,9.16,82.2,629.1
2016,366,299.1,16758.4,56022.87,49274.4,-5084.8,1519.28,3.73,45.3,623.5
2017,365,385.2,21057.9,54665.12,49638.38,-2683.97,2222.55,5.92,57.9,637.3
2018,365,317.9,17579.4,55293.76,50905.12,-2656.94,1581.76,5.73,44.7,609.9
2019,365,273.6,13400.0,48968.35,50348.71,3399.17,1825.46,13.8,44.3,585.1
2020,366,230.4,11412.6,49527.84,48813.29,1456.26,1986.19,12.73,44.6,542.9
2021,365,196.9,9219.9,46832.65,49469.72,4752.98,1988.1,16.32,43.3,463.7
2022,365,213.6,9416.9,44078.67,50308.2,9253.42,2937.49,22.01,36.0,446.7
2023,365,142.9,6314.5,44199.76,50703.11,10233.12,3625.3,24.24,29.2,437.6
2024,366,90.5,4145.3,45805.0,51406.92,10465.12,4743.77,25.49,31.9,330.6
2025,365,111.7,5470.5,48991.92,53045.25,9291.15,5118.63,21.44,39.4,330.0
2026,253,110.2,3739.0,33938.45,37560.26,7990.37,4274.82,25.11,51.1,275.3
