dia,data_iso,intensidade_gco2_kwh,emissoes_kt,producao_gwh,consumo_gwh,saldo_importador_gwh,bombagem_gwh,importacao_perc_consumo,intensidade_min,intensidade_max
01/01/2010,2010-01-01,134.0,20.4,152.3,122.23,-24.93,4.48,0.28,86.8,223.3
02/01/2010,2010-01-02,171.6,27.0,157.27,133.98,-21.69,0.85,0.0,102.1,218.7
03/01/2010,2010-01-03,219.3,36.7,167.52,131.86,-32.49,2.49,0.0,108.6,323.7
04/01/2010,2010-01-04,214.0,38.5,179.84,159.63,-18.11,1.42,0.39,101.0,275.8
05/01/2010,2010-01-05,232.3,40.1,172.63,164.7,-6.05,1.31,1.17,161.9,268.3
06/01/2010,2010-01-06,265.9,46.0,173.15,169.55,-3.02,0.03,2.56,130.7,351.5
07/01/2010,2010-01-07,227.5,42.8,187.88,171.45,-15.34,0.4,0.24,160.3,269.2
08/01/2010,2010-01-08,212.9,39.1,183.82,174.64,-8.36,0.21,0.59,123.3,278.4
09/01/2010,2010-01-09,239.0,39.5,165.29,155.88,-7.82,0.71,0.43,119.8,324.0
10/01/2010,2010-01-10,186.5,33.8,181.12,155.99,-24.34,0.0,0.0,112.0,261.3
11/01/2010,2010-01-11,269.1,51.1,189.69,179.03,-9.73,0.36,1.08,191.0,318.6
12/01/2010,2010-01-12,197.7,38.9,196.75,182.66,-12.77,0.72,1.97,118.2,263.9
13/01/2010,2010-01-13,200.2,38.2,190.58,178.51,-11.26,0.25,0.24,118.7,237.8
14/01/2010,2010-01-14,186.1,34.9,187.71,170.38,-16.6,0.0,0.96,78.9,258.2
15/01/2010,2010-01-15,217.6,41.8,192.24,173.52,-18.26,0.0,0.09,162.1,247.3
16/01/2010,2010-01-16,178.0,30.8,173.1,150.93,-21.61,0.0,0.3,114.1,265.4
17/01/2010,2010-01-17,175.7,28.4,161.37,136.7,-24.11,0.0,0.0,110.0,270.6
18/01/2010,2010-01-18,197.7,33.9,171.62,162.36,-8.66,0.0,0.55,102.1,239.4
19/01/2010,2010-01-19,183.7,30.1,163.86,162.54,-0.82,0.0,3.68,110.9,233.3
20/01/2010,2010-01-20,213.9,33.8,158.01,160.96,3.45,0.0,5.49,109.4,283.4
21/01/2010,2010-01-21,235.0,39.1,166.39,162.83,-3.04,0.08,1.21,154.8,263.2
22/01/2010,2010-01-22,233.5,38.9,166.81,161.03,-4.62,0.73,0.91,139.6,282.2
23/01/2010,2010-01-23,189.3,29.8,157.41,141.26,-15.69,0.0,0.34,107.2,241.5
24/01/2010,2010-01-24,174.9,26.3,150.61,130.23,-19.65,0.23,0.0,110.5,211.3
25/01/2010,2010-01-25,209.5,33.4,159.41,159.53,1.73,1.11,4.71,136.5,252.0
26/01/2010,2010-01-26,163.6,28.0,171.18,168.13,-0.36,2.2,3.6,105.4,204.3
