mes,dias,intensidade_gco2_kwh,emissoes_kt,producao_gwh,consumo_gwh,saldo_importador_gwh,bombagem_gwh,importacao_perc_consumo,intensidade_min,intensidade_max
01/2010,31,199.4,1041.7,5224.27,4919.12,-263.11,23.4,2.37,77.0,351.5
02/2010,28,200.0,880.0,4400.21,4429.58,81.44,36.04,5.82,63.7,384.3
03/2010,31,158.8,729.1,4591.83,4570.04,31.75,34.2,4.54,61.4,292.5
04/2010,30,189.5,758.0,3998.95,3992.99,45.9,35.71,3.79,62.6,310.5
05/2010,31,241.8,980.3,4054.32,4067.97,63.71,35.39,5.27,128.5,403.1
06/2010,30,326.3,1184.1,3629.22,4006.23,415.37,26.41,12.17,169.7,485.6
07/2010,31,374.0,1459.7,3902.9,4455.38,585.73,22.33,13.69,222.5,562.4
08/2010,31,432.5,1582.4,3658.54,4223.36,627.74,53.25,15.05,248.5,571.6
09/2010,30,461.1,1705.2,3697.71,4166.76,528.83,49.86,13.27,276.8,601.3
10/2010,31,372.4,1331.8,3576.62,4109.78,630.47,85.12,15.7,85.2,583.8
11/2010,30,324.1,1364.3,4209.67,4350.11,238.54,82.74,8.24,89.5,525.5
12/2010,31,284.2,1509.0,5309.38,4904.06,-362.96,27.29,2.34,89.8,498.8
01/2011,31,187.6,921.2,4910.82,4910.37,50.66,32.81,5.43,64.6,361.6
02/2011,28,292.6,1323.6,4524.3,4327.83,-155.82,28.17,3.05,114.9,535.4
03/2011,31,248.3,1110.3,4471.43,4431.15,11.69,36.17,6.66,99.8,374.6
04/2011,30,225.1,777.7,3454.54,3886.89,501.53,53.78,13.96,92.5,397.7
05/2011,31,376.5,1578.2,4191.88,4095.3,-45.82,40.62,5.38,106.3,573.5
06/2011,30,401.6,1482.8,3692.05,3970.56,330.43,42.66,10.31,202.5,555.9
07/2011,31,402.6,1554.1,3860.16,4222.15,437.06,65.17,11.32,171.8,581.9
08/2011,31,450.1,1705.6,3789.4,4001.44,277.29,57.39,9.31,270.6,604.2
09/2011,30,449.2,1670.7,3719.14,4077.65,447.72,81.77,12.54,181.3,612.6
10/2011,31,393.6,1504.9,3823.42,4067.47,341.87,87.24,9.9,111.4,612.5
11/2011,30,332.1,1338.7,4031.35,4108.95,187.05,97.39,7.64,90.3,570.2
12/2011,31,367.6,1505.1,4094.79,4398.8,429.23,114.27,11.57,163.7,595.5
01/2012,31,430.6,1665.5,3867.76,4638.15,860.37,78.13,18.81,110.3,617.8
02/2012,29,412.8,1556.5,3770.87,4375.62,699.65,84.13,16.63,198.8,615.7
03/2012,31,409.4,1411.9,3448.69,4103.6,795.06,128.23,20.0,150.4,616.3
04/2012,30,322.0,1020.7,3169.4,3825.34,801.0,133.09,21.44,93.7,612.4
05/2012,31,353.4,1173.4,3320.2,3967.01,746.72,88.06,19.32,113.5,596.2
06/2012,30,413.6,1357.8,3282.73,3852.61,681.19,100.9,17.85,152.4,607.6
07/2012,31,437.4,1574.6,3600.08,4126.26,656.85,121.21,16.15,208.0,615.2
08/2012,31,447.3,1578.2,3528.35,3874.6,456.21,100.59,12.57,196.7,621.3
09/2012,30,425.2,1455.7,3423.25,3928.76,618.35,103.25,16.3,133.6,625.1
10/2012,31,383.1,1256.6,3279.65,3967.49,821.48,121.87,21.75,108.5,609.7
11/2012,30,300.9,1222.4,4063.22,4075.46,162.48,137.05,7.88,111.0,546.5
12/2012,31,295.5,1162.9,3936.05,4325.43,595.35,191.28,14.53,89.5,618.8
01/2013,31,275.2,1292.6,4696.03,4476.51,-45.37,162.76,4.69,82.3,589.5
02/2013,28,268.0,1153.5,4304.12,4044.59,-98.76,150.26,3.71,97.7,456.9
03/2013,31,152.5,770.1,5049.9,4305.19,-620.33,109.57,0.86,75.5,337.3
04/2013,30,150.9,673.6,4463.09,3855.48,-525.07,69.06,0.94,79.3,394.7
05/2013,31,311.0,1184.2,3808.35,3876.44,150.46,72.53,8.25,136.9,502.7
06/2013,30,346.4,1205.0,3478.67,3787.57,440.21,121.93,13.34,125.9,538.8
07/2013,31,414.6,1361.8,3285.06,4262.75,1092.26,104.01,25.64,249.2,610.9
08/2013,31,406.2,1393.4,3429.97,3943.51,657.53,134.31,17.19,281.8,588.2
09/2013,30,367.7,1247.6,3392.72,3957.96,707.4,132.62,19.04,187.4,554.4
10/2013,31,322.7,1169.7,3624.46,4016.68,530.36,128.07,16.18,125.6,538.8
11/2013,30,268.9,1102.9,4100.93,4131.71,170.84,130.82,8.32,106.7,437.3
12/2013,31,300.0,1298.7,4329.55,4492.04,316.95,142.11,10.15,75.4,580.7
01/2014,31,173.9,956.1,5497.57,4575.49,-772.8,136.27,0.48,76.0,328.8
02/2014,28,119.6,589.1,4927.37,4187.7,-664.28,60.6,0.76,70.9,269.5
03/2014,31,180.8,854.7,4727.64,4149.41,-496.59,67.32,2.19,71.0,399.0
04/2014,30,176.1,688.7,3909.98,3822.86,21.58,95.65,6.19,80.6,341.7
05/2014,31,308.3,1107.3,3591.48,3894.85,386.59,74.22,11.77,121.2,472.2
06/2014,30,376.0,1298.0,3452.33,3819.32,444.28,69.29,12.85,136.7,553.9
