ano,hora,intensidade_gco2_kwh
2010,00,275.9
2010,01,269.7
2010,02,267.4
2010,03,265.6
2010,04,266.8
2010,05,270.5
2010,06,276.1
2010,07,290.4
2010,08,291.0
2010,09,291.2
2010,10,294.6
2010,11,295.0
2010,12,298.8
2010,13,303.0
2010,14,300.5
2010,15,299.5
2010,16,298.3
2010,17,296.1
2010,18,296.0
2010,19,292.4
2010,20,288.2
2010,21,291.1
2010,22,294.2
2010,23,290.8
2011,00,342.3
2011,01,341.0
2011,02,335.6
2011,03,331.4
2011,04,334.4
2011,05,341.2
2011,06,337.9
2011,07,341.4
2011,08,337.3
2011,09,337.5
2011,10,340.9
2011,11,340.6
2011,12,343.2
2011,13,350.3
2011,14,349.5
2011,15,349.3
2011,16,345.4
2011,17,338.8
2011,18,333.7
2011,19,330.0
2011,20,326.7
2011,21,330.7
2011,22,340.7
2011,23,341.6
2012,00,389.1
2012,01,385.8
2012,02,385.6
2012,03,384.1
2012,04,385.1
2012,05,386.8
2012,06,386.4
2012,07,387.8
2012,08,383.5
2012,09,383.3
2012,10,387.5
2012,11,388.7
2012,12,392.7
2012,13,401.5
2012,14,399.9
2012,15,397.9
2012,16,391.8
2012,17,382.4
2012,18,370.9
2012,19,366.0
2012,20,363.0
2012,21,373.0
2012,22,387.3
2012,23,390.8
2013,00,292.1
2013,01,298.2
2013,02,298.9
2013,03,299.0
2013,04,301.2
2013,05,299.8
2013,06,291.6
2013,07,291.8
2013,08,284.7
2013,09,285.4
2013,10,289.7
2013,11,291.3
2013,12,293.6
2013,13,298.3
2013,14,297.4
2013,15,297.1
2013,16,292.3
2013,17,284.9
2013,18,278.6
2013,19,275.1
2013,20,271.1
2013,21,273.0
2013,22,280.9
2013,23,286.5
2014,00,277.6
2014,01,284.5
2014,02,284.1
2014,03,284.6
2014,04,285.6
2014,05,283.8
2014,06,276.8
2014,07,277.8
2014,08,272.6
2014,09,274.8
2014,10,278.3
2014,11,278.0
2014,12,279.6
2014,13,284.3
2014,14,285.0
2014,15,284.5
2014,16,279.5
2014,17,273.7
2014,18,270.7
2014,19,266.8
2014,20,265.2
2014,21,268.4
2014,22,276.0
2014,23,280.2
2015,00,373.0
2015,01,381.1
2015,02,382.8
2015,03,383.4
2015,04,385.4
2015,05,379.1
2015,06,361.2
2015,07,353.2
2015,08,342.2
2015,09,341.3
2015,10,347.5
2015,11,352.3
2015,12,357.1
2015,13,369.9
2015,14,375.0
2015,15,374.5
2015,16,368.5
2015,17,354.7
2015,18,342.9
2015,19,334.0
2015,20,329.0
2015,21,340.1
2015,22,356.3
2015,23,368.8
2016,00,302.1
2016,01,308.5
2016,02,310.0
2016,03,310.0
2016,04,310.8
2016,05,307.3
2016,06,298.2
2016,07,296.8
2016,08,292.4
2016,09,293.4
2016,10,296.9
2016,11,300.4
2016,12,303.0
2016,13,308.7
2016,14,311.3
2016,15,310.5
2016,16,304.4
2016,17,294.9
2016,18,287.2
2016,19,284.1
2016,20,283.2
2016,21,289.6
2016,22,296.8
2016,23,300.4
2017,00,400.8
2017,01,406.3
2017,02,408.4
2017,03,409.8
2017,04,410.1
2017,05,407.2
2017,06,389.1
2017,07,378.4
2017,08,368.9
2017,09,371.2
2017,10,380.6
2017,11,384.5
2017,12,387.1
2017,13,399.5
2017,14,404.6
2017,15,403.8
2017,16,396.8
2017,17,380.2
2017,18,364.8
2017,19,356.3
2017,20,349.0
2017,21,365.9
2017,22,384.8
2017,23,389.2
2018,00,329.1
2018,01,331.8
2018,02,331.3
2018,03,330.0
2018,04,334.2
2018,05,334.3
2018,06,321.2
2018,07,312.5
2018,08,305.7
