dia,data_iso,mibgas_pt,mibgas_es,vtp_last,vtp_avg,pvb_last,pvb_avg,lng_es,avb_es
17/12/2015,2015-12-17,,19.67,,,,,,
18/12/2015,2015-12-18,,19.67,,,,,,
19/12/2015,2015-12-19,,19.40,,,,,,
20/12/2015,2015-12-20,,19.40,,,,,,
21/12/2015,2015-12-21,,18.55,,,,,,
22/12/2015,2015-12-22,,18.55,,,,,,
23/12/2015,2015-12-23,,18.55,,,,,,
24/12/2015,2015-12-24,,18.55,,,,,,
25/12/2015,2015-12-25,,18.55,,,,,,
26/12/2015,2015-12-26,,18.55,,,,,,
27/12/2015,2015-12-27,,18.55,,,,,,
28/12/2015,2015-12-28,,18.55,,,,,,
29/12/2015,2015-12-29,,18.55,,,,,,
30/12/2015,2015-12-30,,19.25,,,,,,
31/12/2015,2015-12-31,,19.25,,,,,,
01/01/2016,2016-01-01,,19.25,,,,,,
02/01/2016,2016-01-02,,19.25,,,,,,
03/01/2016,2016-01-03,,19.25,,,,,,
04/01/2016,2016-01-04,,19.25,,,,,,
05/01/2016,2016-01-05,,19.00,,,,,,
06/01/2016,2016-01-06,,19.00,,,,,,
07/01/2016,2016-01-07,,17.00,,,,,,
08/01/2016,2016-01-08,,18.75,,,,,,
09/01/2016,2016-01-09,,18.75,,,,,,
10/01/2016,2016-01-10,,18.75,,,,,,
11/01/2016,2016-01-11,,18.50,,,,,,
12/01/2016,2016-01-12,,18.50,,,,,,
13/01/2016,2016-01-13,,18.00,,,,,,
14/01/2016,2016-01-14,,18.00,,,,,,
15/01/2016,2016-01-15,,17.69,,,,,,
16/01/2016,2016-01-16,,17.52,,,,,,
17/01/2016,2016-01-17,,17.49,,,,,,
18/01/2016,2016-01-18,,17.38,,,,,,
19/01/2016,2016-01-19,,17.32,,,,,,
20/01/2016,2016-01-20,,17.66,,,,,,
21/01/2016,2016-01-21,,17.48,,,,,,
22/01/2016,2016-01-22,,16.98,,,,,,
23/01/2016,2016-01-23,,16.89,,,,,,
24/01/2016,2016-01-24,,16.62,,,,,,
25/01/2016,2016-01-25,,16.81,,,,,,
26/01/2016,2016-01-26,,16.78,,,,,,
27/01/2016,2016-01-27,,16.80,,,,,,
28/01/2016,2016-01-28,,16.98,,,,,,
29/01/2016,2016-01-29,,16.98,,,,,,
30/01/2016,2016-01-30,,16.97,,,,,,
31/01/2016,2016-01-31,,16.83,,,,,,
01/02/2016,2016-02-01,,16.93,,,,,,
02/02/2016,2016-02-02,,16.92,,,,,,
03/02/2016,2016-02-03,,16.93,,,,,,
04/02/2016,2016-02-04,,16.81,,,,,,
05/02/2016,2016-02-05,,16.89,,,,,,
06/02/2016,2016-02-06,,16.19,,,,,,
07/02/2016,2016-02-07,,16.00,,,,,,
08/02/2016,2016-02-08,,16.29,,,,,,
09/02/2016,2016-02-09,,16.54,,,,,,
10/02/2016,2016-02-10,,16.73,,,,,,
11/02/2016,2016-02-11,,16.49,,,,,,
12/02/2016,2016-02-12,,16.27,,,,,,
13/02/2016,2016-02-13,,15.98,,,,,,
14/02/2016,2016-02-14,,15.97,,,,,,
15/02/2016,2016-02-15,,16.23,,,,,,
16/02/2016,2016-02-16,,16.11,,,,,,
17/02/2016,2016-02-17,,16.15,,,,,,
18/02/2016,2016-02-18,,16.30,,,,,,
19/02/2016,2016-02-19,,16.18,,,,,,
20/02/2016,2016-02-20,,16.11,,,,,,
21/02/2016,2016-02-21,,16.03,,,,,,
22/02/2016,2016-02-22,,16.25,,,,,,
23/02/2016,2016-02-23,,16.32,,,,,,
24/02/2016,2016-02-24,,16.18,,,,,,
25/02/2016,2016-02-25,,16.21,,,,,,
26/02/2016,2016-02-26,,16.18,,,,,,
27/02/2016,2016-02-27,,16.18,,,,,,
28/02/2016,2016-02-28,,16.06,,,,,,
29/02/2016,2016-02-29,,16.08,,,,,,
01/03/2016,2016-03-01,,16.20,,,,,,
02/03/2016,2016-03-02,,16.21,,,,,,
03/03/2016,2016-03-03,,16.10,,,,,,
04/03/2016,2016-03-04,,15.83,,,,,,
05/03/2016,2016-03-05,,15.70,,,,,,
06/03/2016,2016-03-06,,16.08,,,,,,
07/03/2016,2016-03-07,,16.02,,,,,,
08/03/2016,2016-03-08,,16.14,,,,,,
09/03/2016,2016-03-09,,16.17,,,,,,
10/03/2016,2016-03-10,,16.17,,,,,,
11/03/2016,2016-03-11,,16.05,,,,,,
12/03/2016,2016-03-12,,16.04,,,,,,
13/03/2016,2016-03-13,,16.12,,,,,,
14/03/2016,2016-03-14,,16.13,,,,,,
15/03/2016,2016-03-15,,16.15,,,,,,
16/03/2016,2016-03-16,,16.11,,,,,,
17/03/2016,2016-03-17,,15.97,,,,,,
18/03/2016,2016-03-18,,15.96,,,,,,
19/03/2016,2016-03-19,,15.92,,,,,,
20/03/2016,2016-03-20,,15.93,,,,,,
21/03/2016,2016-03-21,,16.05,,,,,,
22/03/2016,2016-03-22,,15.83,,,,,,
23/03/2016,2016-03-23,,15.82,,,,,,
24/03/2016,2016-03-24,,15.76,,,,,,
25/03/2016,2016-03-25,,15.70,,,,,,
26/03/2016,2016-03-26,,15.58,,,,,,
27/03/2016,2016-03-27,,15.57,,,,,,
28/03/2016,2016-03-28,,15.48,,,,,,
29/03/2016,2016-03-29,,15.01,,,,,,
30/03/2016,2016-03-30,,14.98,,,,,,
31/03/2016,2016-03-31,,14.89,,,,,,
01/04/2016,2016-04-01,,13.72,,,,,,
02/04/2016,2016-04-02,,13.83,,,,,,
03/04/2016,2016-04-03,,13.54,,,,,,
04/04/2016,2016-04-04,,13.63,,,,,,
05/04/2016,2016-04-05,,13.69,,,,,,
06/04/2016,2016-04-06,,13.50,,,,,,
