TABELA_ATUALIZACOES
chave,valor
Data_Valores_OMIE,12/08/2026
Data_Valores_OMIP,10/08/2026

TABELA_FUTUROS_PT
Contrato,Descricao,Valor,Data de Atualizacao,Variacao
FPB D Tu11Aug-26,11/08/2026,141.19,10/08/2026,up:+1.92
FPB D We12Aug-26,12/08/2026,136.88,10/08/2026,down:-0.98
FPB D Th13Aug-26,13/08/2026,136.73,10/08/2026,down:-1.7
FPB D Fr14Aug-26,14/08/2026,133.31,10/08/2026,down:-1.62
FPB D Sa15Aug-26,15/08/2026,116.40,10/08/2026,down:-1.59
FPB D Su16Aug-26,16/08/2026,104.66,10/08/2026,down:-2.54
FPB Wk34-26,"Semana 34, 2026",109.55,10/08/2026,down:-3.5
FPB Wk35-26,"Semana 35, 2026",104.30,10/08/2026,down:-7.75
FPB Wk36-26,"Semana 36, 2026",114.29,10/08/2026,up:+5.96
FPB Wk37-26,"Semana 37, 2026",116.80,10/08/2026,new:0
FPB M Sep-26,Setembro 2026,116.80,10/08/2026,up:+8.25
FPB M Oct-26,Outubro 2026,108.15,10/08/2026,up:+6.0
FPB M Nov-26,Novembro 2026,112.56,10/08/2026,up:+8.64
FPB M Dec-26,Dezembro 2026,113.53,10/08/2026,up:+8.64
FPB M Jan-27,Janeiro 2027,99.16,10/08/2026,equal:0
FPB M Feb-27,Fevereiro 2027,94.00,10/08/2026,up:+6.5
FPB Q4-26,4º Trimestre 2026,111.40,10/08/2026,up:+7.75
FPB Q1-27,1º Trimestre 2027,92.60,10/08/2026,up:+6.5
FPB Q2-27,2º Trimestre 2027,46.99,10/08/2026,up:+0.39
FPB Q3-27,3º Trimestre 2027,72.00,10/08/2026,up:+0.6
FPB Q4-27,4º Trimestre 2027,71.04,10/08/2026,up:+0.59
FPB Q1-28,1º Trimestre 2028,65.21,10/08/2026,up:+0.85
FPB Q2-28,2º Trimestre 2028,42.15,10/08/2026,up:+0.85
FPB YR-27,Ano 2027,70.60,10/08/2026,up:+2.0
FPB YR-28,Ano 2028,58.10,10/08/2026,up:+0.85
FPB YR-29,Ano 2029,53.82,10/08/2026,up:+0.57
FPB YR-30,Ano 2030,52.47,10/08/2026,up:+0.57
FPB YR-31,Ano 2031,51.57,10/08/2026,up:+0.57
FPB YR-32,Ano 2032,50.07,10/08/2026,up:+0.57
FPB YR-33,Ano 2033,49.82,10/08/2026,up:+0.57
FPB YR-34,Ano 2034,49.02,10/08/2026,up:+0.57
FPB YR-35,Ano 2035,48.32,10/08/2026,up:+0.57
FPB YR-36,Ano 2036,47.72,10/08/2026,up:+0.57

TABELA_FUTUROS_ES
Contrato,Descricao,Valor,Data de Atualizacao,Variacao
FTB D Tu11Aug-26,11/08/2026,128.85,10/08/2026,down:-10.12
FTB D We12Aug-26,12/08/2026,128.72,10/08/2026,down:-8.6
FTB D Th13Aug-26,13/08/2026,128.57,10/08/2026,down:-8.6
FTB D Fr14Aug-26,14/08/2026,125.15,10/08/2026,down:-8.6
FTB D Sa15Aug-26,15/08/2026,108.24,10/08/2026,down:-8.6
FTB D Su16Aug-26,16/08/2026,96.50,10/08/2026,down:-8.6
FTB Wk34-26,"Semana 34, 2026",108.50,10/08/2026,down:-3.5
FTB Wk35-26,"Semana 35, 2026",103.25,10/08/2026,down:-7.75
FTB Wk36-26,"Semana 36, 2026",113.24,10/08/2026,up:+5.96
FTB Wk37-26,"Semana 37, 2026",115.75,10/08/2026,new:0
FTB M Sep-26,Setembro 2026,115.75,10/08/2026,up:+8.25
FTB M Oct-26,Outubro 2026,107.50,10/08/2026,up:+6.0
FTB M Nov-26,Novembro 2026,111.91,10/08/2026,up:+8.64
FTB M Dec-26,Dezembro 2026,112.88,10/08/2026,up:+8.64
FTB M Jan-27,Janeiro 2027,98.56,10/08/2026,equal:0
FTB M Feb-27,Fevereiro 2027,93.40,10/08/2026,up:+6.5
FTB Q4-26,4º Trimestre 2026,110.75,10/08/2026,up:+7.75
FTB Q1-27,1º Trimestre 2027,92.00,10/08/2026,up:+6.5
FTB Q2-27,2º Trimestre 2027,46.39,10/08/2026,up:+0.39
FTB Q3-27,3º Trimestre 2027,71.40,10/08/2026,up:+0.6
FTB Q4-27,4º Trimestre 2027,70.44,10/08/2026,up:+0.59
FTB Q1-28,1º Trimestre 2028,64.61,10/08/2026,up:+0.85
FTB Q2-28,2º Trimestre 2028,41.55,10/08/2026,up:+0.85
FTB YR-27,Ano 2027,70.00,10/08/2026,up:+2.0
FTB YR-28,Ano 2028,57.50,10/08/2026,up:+0.85
FTB YR-29,Ano 2029,53.22,10/08/2026,up:+0.57
FTB YR-30,Ano 2030,51.97,10/08/2026,up:+0.57
FTB YR-31,Ano 2031,51.07,10/08/2026,up:+0.57
FTB YR-32,Ano 2032,49.57,10/08/2026,up:+0.57
FTB YR-33,Ano 2033,49.32,10/08/2026,up:+0.57
FTB YR-34,Ano 2034,48.52,10/08/2026,up:+0.57
FTB YR-35,Ano 2035,47.82,10/08/2026,up:+0.57
FTB YR-36,Ano 2036,47.22,10/08/2026,up:+0.57
