Data,Zona,Contrato,Valor
02/01/2026,PT,FPB D Sa03Jan-26,88.43
02/01/2026,PT,FPB D Su04Jan-26,97.77
02/01/2026,PT,FPB D Mo05Jan-26,78.16
02/01/2026,PT,FPB D Tu06Jan-26,80.12
02/01/2026,PT,FPB D We07Jan-26,79.15
02/01/2026,PT,FPB D Th08Jan-26,79.72
02/01/2026,PT,FPB D Fr09Jan-26,77.92
02/01/2026,PT,FPB D Sa10Jan-26,69.72
02/01/2026,PT,FPB D Su11Jan-26,64.05
02/01/2026,PT,FPB Wk02-26,75.55
02/01/2026,PT,FPB Wk03-26,76.30
02/01/2026,PT,FPB Wk04-26,76.30
02/01/2026,PT,FPB Wk05-26,75.49
02/01/2026,PT,FPB M Feb-26,60.65
02/01/2026,PT,FPB M Mar-26,46.95
02/01/2026,PT,FPB M Apr-26,32.55
02/01/2026,PT,FPB M May-26,31.60
02/01/2026,PT,FPB M Jun-26,53.70
02/01/2026,PT,FPB M Jul-26,62.18
02/01/2026,PT,FPB Q2-26,39.20
02/01/2026,PT,FPB Q3-26,62.18
02/01/2026,PT,FPB Q4-26,67.98
02/01/2026,PT,FPB Q1-27,60.81
02/01/2026,PT,FPB Q2-27,31.74
02/01/2026,PT,FPB Q3-27,59.23
02/01/2026,PT,FPB Q4-27,65.12
02/01/2026,PT,FPB YR-27,54.25
02/01/2026,PT,FPB YR-28,55.25
02/01/2026,PT,FPB YR-29,55.10
02/01/2026,PT,FPB YR-30,55.10
02/01/2026,PT,FPB YR-31,55.10
02/01/2026,PT,FPB YR-32,55.10
02/01/2026,PT,FPB YR-33,55.10
02/01/2026,PT,FPB YR-34,55.10
02/01/2026,PT,FPB YR-35,55.10
02/01/2026,PT,FPB YR-36,55.10
02/01/2026,ES,FTB D Sa03Jan-26,88.43
02/01/2026,ES,FTB D Su04Jan-26,97.76
02/01/2026,ES,FTB D Mo05Jan-26,77.59
02/01/2026,ES,FTB D Tu06Jan-26,80.04
02/01/2026,ES,FTB D We07Jan-26,78.95
02/01/2026,ES,FTB D Th08Jan-26,79.05
02/01/2026,ES,FTB D Fr09Jan-26,77.41
02/01/2026,ES,FTB D Sa10Jan-26,69.15
02/01/2026,ES,FTB D Su11Jan-26,62.81
02/01/2026,ES,FTB Wk02-26,75.00
02/01/2026,ES,FTB Wk03-26,75.75
02/01/2026,ES,FTB Wk04-26,75.75
02/01/2026,ES,FTB Wk05-26,74.94
02/01/2026,ES,FTB M Feb-26,60.10
02/01/2026,ES,FTB M Mar-26,46.40
02/01/2026,ES,FTB M Apr-26,31.85
02/01/2026,ES,FTB M May-26,30.90
02/01/2026,ES,FTB M Jun-26,53.00
02/01/2026,ES,FTB M Jul-26,60.50
02/01/2026,ES,FTB Q2-26,38.50
02/01/2026,ES,FTB Q3-26,60.50
02/01/2026,ES,FTB Q4-26,66.30
02/01/2026,ES,FTB Q1-27,60.00
02/01/2026,ES,FTB Q2-27,30.90
02/01/2026,ES,FTB Q3-27,57.87
02/01/2026,ES,FTB Q4-27,63.74
02/01/2026,ES,FTB YR-27,53.15
02/01/2026,ES,FTB YR-28,54.15
02/01/2026,ES,FTB YR-29,54.00
02/01/2026,ES,FTB YR-30,54.00
02/01/2026,ES,FTB YR-31,54.00
02/01/2026,ES,FTB YR-32,54.00
02/01/2026,ES,FTB YR-33,54.00
02/01/2026,ES,FTB YR-34,54.00
02/01/2026,ES,FTB YR-35,54.00
02/01/2026,ES,FTB YR-36,54.00
05/01/2026,PT,FPB D Tu06Jan-26,63.07
05/01/2026,PT,FPB D We07Jan-26,79.40
05/01/2026,PT,FPB D Th08Jan-26,79.50
05/01/2026,PT,FPB D Fr09Jan-26,77.86
05/01/2026,PT,FPB D Sa10Jan-26,69.60
05/01/2026,PT,FPB D Su11Jan-26,63.26
05/01/2026,PT,FPB Wk03-26,64.05
05/01/2026,PT,FPB Wk04-26,64.05
05/01/2026,PT,FPB Wk05-26,64.66
05/01/2026,PT,FPB Wk06-26,58.35
05/01/2026,PT,FPB M Feb-26,58.35
05/01/2026,PT,FPB M Mar-26,44.45
05/01/2026,PT,FPB M Apr-26,30.60
05/01/2026,PT,FPB M May-26,29.90
05/01/2026,PT,FPB M Jun-26,51.95
05/01/2026,PT,FPB M Jul-26,60.43
05/01/2026,PT,FPB Q2-26,37.40
05/01/2026,PT,FPB Q3-26,61.18
