Data,Zona,Contrato,Valor
20/10/2025,PT,FPB D Tu21Oct-25,38.38
20/10/2025,PT,FPB D We22Oct-25,35.83
20/10/2025,PT,FPB D Th23Oct-25,38.76
20/10/2025,PT,FPB D Fr24Oct-25,78.83
20/10/2025,PT,FPB D Sa25Oct-25,41.84
20/10/2025,PT,FPB D Su26Oct-25,37.20
20/10/2025,PT,FPB Wk44-25,73.65
20/10/2025,PT,FPB Wk45-25,74.55
20/10/2025,PT,FPB Wk46-25,74.55
20/10/2025,PT,FPB Wk47-25,74.55
20/10/2025,PT,FPB M Nov-25,74.55
20/10/2025,PT,FPB M Dec-25,72.55
20/10/2025,PT,FPB M Jan-26,75.75
20/10/2025,PT,FPB M Feb-26,73.55
20/10/2025,PT,FPB M Mar-26,46.21
20/10/2025,PT,FPB M Apr-26,29.96
20/10/2025,PT,FPB Q1-26,64.90
20/10/2025,PT,FPB Q2-26,41.80
20/10/2025,PT,FPB Q3-26,68.30
20/10/2025,PT,FPB Q4-26,75.02
20/10/2025,PT,FPB Q1-27,65.46
20/10/2025,PT,FPB Q2-27,36.77
20/10/2025,PT,FPB Q3-27,65.59
20/10/2025,PT,FPB YR-26,62.55
20/10/2025,PT,FPB YR-27,59.90
20/10/2025,PT,FPB YR-28,59.85
20/10/2025,PT,FPB YR-29,59.65
20/10/2025,PT,FPB YR-30,59.35
20/10/2025,PT,FPB YR-31,59.35
20/10/2025,PT,FPB YR-32,59.35
20/10/2025,PT,FPB YR-33,59.20
20/10/2025,PT,FPB YR-34,59.20
20/10/2025,PT,FPB YR-35,59.20
20/10/2025,ES,FTB D Tu21Oct-25,38.36
20/10/2025,ES,FTB D We22Oct-25,35.50
20/10/2025,ES,FTB D Th23Oct-25,38.43
20/10/2025,ES,FTB D Fr24Oct-25,78.50
20/10/2025,ES,FTB D Sa25Oct-25,41.51
20/10/2025,ES,FTB D Su26Oct-25,36.87
20/10/2025,ES,FTB Wk44-25,73.00
20/10/2025,ES,FTB Wk45-25,73.90
20/10/2025,ES,FTB Wk46-25,73.90
20/10/2025,ES,FTB Wk47-25,73.90
20/10/2025,ES,FTB M Nov-25,73.90
20/10/2025,ES,FTB M Dec-25,71.90
20/10/2025,ES,FTB M Jan-26,74.45
20/10/2025,ES,FTB M Feb-26,72.25
20/10/2025,ES,FTB M Mar-26,44.91
20/10/2025,ES,FTB M Apr-26,28.66
20/10/2025,ES,FTB Q1-26,63.60
20/10/2025,ES,FTB Q2-26,40.50
20/10/2025,ES,FTB Q3-26,67.00
20/10/2025,ES,FTB Q4-26,73.72
20/10/2025,ES,FTB Q1-27,64.46
20/10/2025,ES,FTB Q2-27,35.77
20/10/2025,ES,FTB Q3-27,64.59
20/10/2025,ES,FTB YR-26,61.25
20/10/2025,ES,FTB YR-27,58.90
20/10/2025,ES,FTB YR-28,58.85
20/10/2025,ES,FTB YR-29,58.65
20/10/2025,ES,FTB YR-30,58.35
20/10/2025,ES,FTB YR-31,58.35
20/10/2025,ES,FTB YR-32,58.35
20/10/2025,ES,FTB YR-33,58.20
20/10/2025,ES,FTB YR-34,58.20
20/10/2025,ES,FTB YR-35,58.20
21/10/2025,PT,FPB D We22Oct-25,27.98
21/10/2025,PT,FPB D Th23Oct-25,28.38
21/10/2025,PT,FPB D Fr24Oct-25,83.38
21/10/2025,PT,FPB D Sa25Oct-25,37.04
21/10/2025,PT,FPB D Su26Oct-25,32.40
21/10/2025,PT,FPB Wk44-25,68.25
21/10/2025,PT,FPB Wk45-25,70.25
21/10/2025,PT,FPB Wk46-25,73.25
21/10/2025,PT,FPB Wk47-25,73.25
21/10/2025,PT,FPB M Nov-25,73.25
21/10/2025,PT,FPB M Dec-25,72.20
21/10/2025,PT,FPB M Jan-26,76.65
21/10/2025,PT,FPB M Feb-26,74.40
21/10/2025,PT,FPB M Mar-26,46.43
21/10/2025,PT,FPB M Apr-26,30.29
21/10/2025,PT,FPB Q1-26,65.55
21/10/2025,PT,FPB Q2-26,42.13
21/10/2025,PT,FPB Q3-26,68.43
21/10/2025,PT,FPB Q4-26,74.92
21/10/2025,PT,FPB Q1-27,65.16
21/10/2025,PT,FPB Q2-27,36.47
21/10/2025,PT,FPB Q3-27,65.29
21/10/2025,PT,FPB YR-26,62.80
21/10/2025,PT,FPB YR-27,59.60
21/10/2025,PT,FPB YR-28,60.20
21/10/2025,PT,FPB YR-29,59.65
21/10/2025,PT,FPB YR-30,59.35
21/10/2025,PT,FPB YR-31,59.35
21/10/2025,PT,FPB YR-32,59.35
21/10/2025,PT,FPB YR-33,59.20
21/10/2025,PT,FPB YR-34,59.20
21/10/2025,PT,FPB YR-35,59.20
21/10/2025,ES,FTB D We22Oct-25,27.51
21/10/2025,ES,FTB D Th23Oct-25,28.00
21/10/2025,ES,FTB D Fr24Oct-25,83.00
21/10/2025,ES,FTB D Sa25Oct-25,36.66
21/10/2025,ES,FTB D Su26Oct-25,32.02
21/10/2025,ES,FTB Wk44-25,68.00
21/10/2025,ES,FTB Wk45-25,70.00
21/10/2025,ES,FTB Wk46-25,73.00
21/10/2025,ES,FTB Wk47-25,73.00
21/10/2025,ES,FTB M Nov-25,73.00
21/10/2025,ES,FTB M Dec-25,72.00
21/10/2025,ES,FTB M Jan-26,75.35
21/10/2025,ES,FTB M Feb-26,73.10
21/10/2025,ES,FTB M Mar-26,45.13
21/10/2025,ES,FTB M Apr-26,28.99
21/10/2025,ES,FTB Q1-26,64.25
21/10/2025,ES,FTB Q2-26,40.83
21/10/2025,ES,FTB Q3-26,67.13
21/10/2025,ES,FTB Q4-26,73.62
21/10/2025,ES,FTB Q1-27,64.16
21/10/2025,ES,FTB Q2-27,35.47
21/10/2025,ES,FTB Q3-27,64.29
21/10/2025,ES,FTB YR-26,61.50
21/10/2025,ES,FTB YR-27,58.60
21/10/2025,ES,FTB YR-28,59.20
21/10/2025,ES,FTB YR-29,58.65
21/10/2025,ES,FTB YR-30,58.35
21/10/2025,ES,FTB YR-31,58.35
21/10/2025,ES,FTB YR-32,58.35
21/10/2025,ES,FTB YR-33,58.20
21/10/2025,ES,FTB YR-34,58.20
21/10/2025,ES,FTB YR-35,58.20
22/10/2025,PT,FPB D Th23Oct-25,25.06
22/10/2025,PT,FPB D Fr24Oct-25,85.65
22/10/2025,PT,FPB D Sa25Oct-25,36.83
22/10/2025,PT,FPB D Su26Oct-25,32.18
22/10/2025,PT,FPB Wk44-25,62.25
22/10/2025,PT,FPB Wk45-25,67.25
22/10/2025,PT,FPB Wk46-25,71.60
22/10/2025,PT,FPB Wk47-25,71.60
22/10/2025,PT,FPB M Nov-25,71.60
22/10/2025,PT,FPB M Dec-25,71.95
22/10/2025,PT,FPB M Jan-26,76.05
22/10/2025,PT,FPB M Feb-26,74.00
22/10/2025,PT,FPB M Mar-26,48.00
22/10/2025,PT,FPB M Apr-26,30.61
22/10/2025,PT,FPB Q1-26,65.76
22/10/2025,PT,FPB Q2-26,42.45
22/10/2025,PT,FPB Q3-26,68.60
22/10/2025,PT,FPB Q4-26,75.02
22/10/2025,PT,FPB Q1-27,65.06
22/10/2025,PT,FPB Q2-27,36.37
22/10/2025,PT,FPB Q3-27,65.19
22/10/2025,PT,FPB YR-26,63.00
22/10/2025,PT,FPB YR-27,59.50
22/10/2025,PT,FPB YR-28,60.00
22/10/2025,PT,FPB YR-29,59.65
22/10/2025,PT,FPB YR-30,59.35
22/10/2025,PT,FPB YR-31,59.35
22/10/2025,PT,FPB YR-32,59.35
22/10/2025,PT,FPB YR-33,59.20
22/10/2025,PT,FPB YR-34,59.20
22/10/2025,PT,FPB YR-35,59.20
22/10/2025,ES,FTB D Th23Oct-25,23.59
22/10/2025,ES,FTB D Fr24Oct-25,85.00
22/10/2025,ES,FTB D Sa25Oct-25,36.18
22/10/2025,ES,FTB D Su26Oct-25,31.53
22/10/2025,ES,FTB Wk44-25,62.00
22/10/2025,ES,FTB Wk45-25,67.00
22/10/2025,ES,FTB Wk46-25,71.35
22/10/2025,ES,FTB Wk47-25,71.35
22/10/2025,ES,FTB M Nov-25,71.35
22/10/2025,ES,FTB M Dec-25,71.75
22/10/2025,ES,FTB M Jan-26,74.75
22/10/2025,ES,FTB M Feb-26,72.70
22/10/2025,ES,FTB M Mar-26,46.70
22/10/2025,ES,FTB M Apr-26,29.31
22/10/2025,ES,FTB Q1-26,64.46
22/10/2025,ES,FTB Q2-26,41.15
22/10/2025,ES,FTB Q3-26,67.30
22/10/2025,ES,FTB Q4-26,73.72
