dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
23/08/2026,Alfa Power Index BTN,Simples,[00:00-00:15[,0.26760,0.15690,0.06070,0.23991
23/08/2026,Alfa Power Index BTN,Simples,[00:15-00:30[,0.26916,0.15864,0.06070,0.24151
23/08/2026,Alfa Power Index BTN,Simples,[00:30-00:45[,0.26856,0.15846,0.06070,0.24093
23/08/2026,Alfa Power Index BTN,Simples,[00:45-01:00[,0.26998,0.16004,0.06070,0.24239
23/08/2026,Alfa Power Index BTN,Simples,[01:00-01:15[,0.27528,0.16500,0.06070,0.24771
23/08/2026,Alfa Power Index BTN,Simples,[01:15-01:30[,0.27133,0.16177,0.06070,0.24379
23/08/2026,Alfa Power Index BTN,Simples,[01:30-01:45[,0.26940,0.16029,0.06070,0.24187
23/08/2026,Alfa Power Index BTN,Simples,[01:45-02:00[,0.26889,0.16004,0.06070,0.24138
23/08/2026,Alfa Power Index BTN,Simples,[02:00-02:15[,0.26782,0.15950,0.06070,0.24034
23/08/2026,Alfa Power Index BTN,Simples,[02:15-02:30[,0.26670,0.15864,0.06070,0.23924
23/08/2026,Alfa Power Index BTN,Simples,[02:30-02:45[,0.26657,0.15864,0.06070,0.23911
23/08/2026,Alfa Power Index BTN,Simples,[02:45-03:00[,0.26623,0.15846,0.06070,0.23879
23/08/2026,Alfa Power Index BTN,Simples,[03:00-03:15[,0.26612,0.15846,0.06070,0.23869
23/08/2026,Alfa Power Index BTN,Simples,[03:15-03:30[,0.26604,0.15846,0.06070,0.23862
23/08/2026,Alfa Power Index BTN,Simples,[03:30-03:45[,0.26598,0.15846,0.06070,0.23855
23/08/2026,Alfa Power Index BTN,Simples,[03:45-04:00[,0.26539,0.15800,0.06070,0.23797
23/08/2026,Alfa Power Index BTN,Simples,[04:00-04:15[,0.26410,0.15690,0.06070,0.23669
23/08/2026,Alfa Power Index BTN,Simples,[04:15-04:30[,0.26580,0.15846,0.06070,0.23840
23/08/2026,Alfa Power Index BTN,Simples,[04:30-04:45[,0.26577,0.15846,0.06070,0.23836
23/08/2026,Alfa Power Index BTN,Simples,[04:45-05:00[,0.26593,0.15864,0.06070,0.23852
23/08/2026,Alfa Power Index BTN,Simples,[05:00-05:15[,0.26590,0.15864,0.06070,0.23850
23/08/2026,Alfa Power Index BTN,Simples,[05:15-05:30[,0.26591,0.15864,0.06070,0.23851
23/08/2026,Alfa Power Index BTN,Simples,[05:30-05:45[,0.26749,0.16004,0.06070,0.24009
23/08/2026,Alfa Power Index BTN,Simples,[05:45-06:00[,0.26751,0.16004,0.06070,0.24010
23/08/2026,Alfa Power Index BTN,Simples,[06:00-06:15[,0.26624,0.15864,0.06070,0.23882
23/08/2026,Alfa Power Index BTN,Simples,[06:15-06:30[,0.26632,0.15864,0.06070,0.23889
23/08/2026,Alfa Power Index BTN,Simples,[06:30-06:45[,0.26633,0.15846,0.06070,0.23888
23/08/2026,Alfa Power Index BTN,Simples,[06:45-07:00[,0.26312,0.15530,0.06070,0.23565
23/08/2026,Alfa Power Index BTN,Simples,[07:00-07:15[,0.24649,0.14040,0.06070,0.21900
23/08/2026,Alfa Power Index BTN,Simples,[07:15-07:30[,0.20370,0.10239,0.06070,0.17620
23/08/2026,Alfa Power Index BTN,Simples,[07:30-07:45[,0.18385,0.08473,0.06070,0.15634
23/08/2026,Alfa Power Index BTN,Simples,[07:45-08:00[,0.13214,0.03888,0.06070,0.10462
23/08/2026,Alfa Power Index BTN,Simples,[08:00-08:15[,0.09814,0.00876,0.06070,0.07060
23/08/2026,Alfa Power Index BTN,Simples,[08:15-08:30[,0.08905,0.00071,0.06070,0.06150
23/08/2026,Alfa Power Index BTN,Simples,[08:30-08:45[,0.08827,0.00001,0.06070,0.06071
23/08/2026,Alfa Power Index BTN,Simples,[08:45-09:00[,0.08828,0.00000,0.06070,0.06070
23/08/2026,Alfa Power Index BTN,Simples,[09:00-09:15[,0.08828,-0.00001,0.06070,0.06069
23/08/2026,Alfa Power Index BTN,Simples,[09:15-09:30[,0.08821,-0.00009,0.06070,0.06060
23/08/2026,Alfa Power Index BTN,Simples,[09:30-09:45[,0.08776,-0.00050,0.06070,0.06013
23/08/2026,Alfa Power Index BTN,Simples,[09:45-10:00[,0.08745,-0.00078,0.06070,0.05981
23/08/2026,Alfa Power Index BTN,Simples,[10:00-10:15[,0.08721,-0.00100,0.06070,0.05956
23/08/2026,Alfa Power Index BTN,Simples,[10:15-10:30[,0.08720,-0.00102,0.06070,0.05954
23/08/2026,Alfa Power Index BTN,Simples,[10:30-10:45[,0.08705,-0.00116,0.06070,0.05938
23/08/2026,Alfa Power Index BTN,Simples,[10:45-11:00[,0.08635,-0.00178,0.06070,0.05867
23/08/2026,Alfa Power Index BTN,Simples,[11:00-11:15[,0.08610,-0.00200,0.06070,0.05842
23/08/2026,Alfa Power Index BTN,Simples,[11:15-11:30[,0.08599,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[11:30-11:45[,0.08600,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[11:45-12:00[,0.08600,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[12:00-12:15[,0.08601,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[12:15-12:30[,0.08602,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[12:30-12:45[,0.08602,-0.00210,0.06070,0.05830
23/08/2026,Alfa Power Index BTN,Simples,[12:45-13:00[,0.08601,-0.00210,0.06070,0.05830
