dia,hora,intervalo,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo
01/01/2025,00:15,[00:00-00:15[,691.3,1424.8,0.1,359.6,0.0,616.0,135.4,0.0,30.1,2297.6,0.0,0.0,0.0,0.0,5542.3
01/01/2025,00:30,[00:15-00:30[,685.8,1412.4,0.1,358.9,0.0,598.8,133.4,0.0,31.1,2296.5,0.0,0.8,0.0,0.0,5503.1
01/01/2025,00:45,[00:30-00:45[,695.3,1471.6,0.1,357.7,0.0,637.6,132.0,0.0,31.4,2306.9,0.0,151.5,0.0,0.0,5467.5
01/01/2025,01:00,[00:45-01:00[,667.3,1519.1,0.0,357.9,0.0,615.6,133.1,0.0,31.0,2235.2,0.0,118.9,0.0,0.0,5426.2
01/01/2025,01:15,[01:00-01:15[,560.1,1549.3,0.1,359.3,0.0,577.6,133.6,0.0,31.2,2314.4,0.0,120.8,0.0,0.0,5390.0
01/01/2025,01:30,[01:15-01:30[,580.7,1561.8,0.1,358.6,0.0,587.2,133.4,0.0,31.0,2428.1,0.0,332.6,0.0,0.0,5333.6
01/01/2025,01:45,[01:30-01:45[,448.8,1506.0,0.1,358.5,0.0,634.0,133.1,0.0,31.1,2500.9,0.0,332.9,0.0,0.0,5265.5
01/01/2025,02:00,[01:45-02:00[,418.7,1482.7,0.1,356.0,0.0,630.0,133.7,0.0,30.4,2537.7,0.0,400.7,0.0,0.0,5172.2
01/01/2025,02:15,[02:00-02:15[,327.3,1509.5,0.1,355.8,0.0,584.8,133.7,0.0,30.1,2724.5,0.0,563.0,0.0,0.0,5086.2
01/01/2025,02:30,[02:15-02:30[,304.8,1558.1,0.1,359.1,0.0,550.0,133.8,0.0,31.0,2659.5,0.0,575.4,0.0,0.0,5005.3
01/01/2025,02:45,[02:30-02:45[,253.6,1599.1,0.1,356.4,0.0,550.0,133.8,0.0,30.3,2601.1,0.0,575.7,0.0,0.0,4933.1
01/01/2025,03:00,[02:45-03:00[,212.7,1653.7,0.1,359.5,0.0,444.4,134.4,0.0,31.3,2613.3,0.0,577.8,0.0,0.0,4854.0
01/01/2025,03:15,[03:00-03:15[,242.9,1672.2,0.1,360.5,0.0,483.2,134.8,0.0,30.8,2574.8,0.0,689.4,0.0,0.0,4794.8
01/01/2025,03:30,[03:15-03:30[,247.9,1621.1,0.1,359.4,0.0,522.4,134.8,0.0,30.8,2583.4,0.0,769.0,0.0,0.0,4713.7
01/01/2025,03:45,[03:30-03:45[,293.0,1580.0,0.1,361.2,0.0,644.8,134.9,0.0,31.3,2702.7,0.0,1086.8,0.0,0.0,4643.0
01/01/2025,04:00,[03:45-04:00[,299.9,1539.9,0.1,361.4,0.0,666.4,134.7,0.0,31.5,2767.0,0.0,1201.0,0.0,0.0,4581.7
01/01/2025,04:15,[04:00-04:15[,294.5,1511.6,0.1,359.3,0.0,680.8,135.5,0.0,31.2,2533.3,0.0,986.0,0.0,0.0,4541.1
01/01/2025,04:30,[04:15-04:30[,270.2,1490.9,0.1,360.9,0.0,599.6,135.9,0.0,31.1,2409.3,0.0,804.8,0.0,0.0,4476.6
01/01/2025,04:45,[04:30-04:45[,291.9,1470.6,0.1,357.1,0.0,571.6,135.4,0.0,31.3,2398.7,0.0,804.7,0.0,0.0,4434.9
01/01/2025,05:00,[04:45-05:00[,317.6,1463.2,0.1,362.9,0.0,544.0,135.6,0.0,31.4,2299.4,0.0,739.0,0.0,0.0,4398.8
01/01/2025,05:15,[05:00-05:15[,313.9,1440.8,0.1,363.2,0.0,550.8,134.9,0.0,31.8,2240.2,0.0,667.1,0.0,0.0,4391.8
01/01/2025,05:30,[05:15-05:30[,314.5,1439.1,0.1,363.9,0.0,556.4,135.0,0.0,31.7,2307.8,0.0,768.8,0.0,0.0,4362.7
01/01/2025,05:45,[05:30-05:45[,329.1,1436.9,0.1,363.8,0.0,591.6,135.2,0.0,31.0,2320.2,0.0,845.2,0.0,0.0,4347.3
01/01/2025,06:00,[05:45-06:00[,336.4,1454.0,0.1,357.1,0.0,601.6,134.5,0.0,30.8,2317.1,0.0,887.4,0.0,0.0,4326.7
01/01/2025,06:15,[06:00-06:15[,556.9,1448.0,0.1,363.2,0.0,626.4,134.4,0.0,30.8,2077.2,0.0,876.7,0.0,0.0,4344.5
