dia,hora,intervalo,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo
01/01/2026,00:15,[00:00-00:15[,2612.1,2092.2,0.0,332.9,0.0,622.4,108.4,0.0,28.0,134.1,0.0,0.0,0.0,0.1,5916.2
01/01/2026,00:30,[00:15-00:30[,2415.0,2142.2,0.0,332.5,0.0,645.2,107.1,0.0,27.8,197.8,0.0,0.0,0.0,0.1,5852.3
01/01/2026,00:45,[00:30-00:45[,2479.5,2182.1,0.0,328.5,0.0,626.0,105.0,0.0,27.7,68.1,0.0,0.0,0.0,0.1,5803.2
01/01/2026,01:00,[00:45-01:00[,2472.5,2211.8,0.0,333.7,0.0,635.6,105.2,0.0,28.2,0.0,21.3,0.0,0.0,0.1,5752.1
01/01/2026,01:15,[01:00-01:15[,2351.4,2206.8,0.0,334.1,0.0,667.2,105.5,0.0,28.3,47.8,0.0,0.0,0.1,0.1,5727.4
01/01/2026,01:30,[01:15-01:30[,2356.1,2235.0,0.1,333.0,0.0,665.2,107.0,0.0,27.1,0.0,40.6,0.5,0.9,0.0,5668.7
01/01/2026,01:45,[01:30-01:45[,2505.4,2299.1,0.0,335.0,0.0,530.0,107.4,0.0,26.1,0.0,203.5,0.0,0.9,0.0,5586.1
01/01/2026,02:00,[01:45-02:00[,2234.5,2279.8,0.0,330.7,0.0,512.0,106.8,0.0,26.0,0.0,9.8,0.0,0.1,0.1,5467.7
01/01/2026,02:15,[02:00-02:15[,1829.3,2275.7,0.0,334.7,0.0,542.8,107.0,0.0,27.6,247.0,0.0,0.0,0.0,0.0,5351.9
01/01/2026,02:30,[02:15-02:30[,1703.5,2312.2,0.0,335.6,0.0,501.2,107.2,0.0,27.1,313.9,0.0,33.8,0.0,0.1,5250.7
01/01/2026,02:45,[02:30-02:45[,1616.7,2319.4,0.0,338.9,0.0,484.4,107.1,0.0,28.4,592.4,0.0,312.2,0.0,0.1,5159.0
01/01/2026,03:00,[02:45-03:00[,1588.3,2323.3,0.0,334.5,0.0,527.6,105.0,0.0,27.2,840.6,0.0,664.8,0.0,0.1,5064.7
01/01/2026,03:15,[03:00-03:15[,1635.3,2303.5,0.0,333.3,0.0,508.8,105.6,0.0,26.2,729.4,0.0,627.1,0.0,0.1,4999.0
01/01/2026,03:30,[03:15-03:30[,1637.1,2284.9,0.0,333.8,0.0,522.4,104.9,0.0,26.4,945.3,0.0,928.5,0.0,0.1,4911.0
01/01/2026,03:45,[03:30-03:45[,1627.6,2324.9,0.1,336.4,0.0,494.0,104.5,0.0,27.4,892.3,0.0,952.4,0.0,0.1,4839.8
01/01/2026,04:00,[03:45-04:00[,1539.3,2365.0,0.1,338.0,0.0,474.0,105.0,0.0,27.7,868.6,0.0,918.4,0.0,0.1,4783.8
01/01/2026,04:15,[04:00-04:15[,1497.1,2372.8,0.0,336.0,0.0,402.0,104.7,0.0,26.7,925.5,0.0,920.6,0.0,0.0,4727.1
01/01/2026,04:30,[04:15-04:30[,1468.6,2401.5,0.0,337.2,0.0,487.2,105.6,0.0,27.7,1150.7,0.0,1290.1,0.0,0.1,4671.8
01/01/2026,04:45,[04:30-04:45[,1459.8,2387.8,0.0,334.3,0.0,534.0,106.3,0.0,28.1,1121.0,0.0,1323.7,0.0,0.0,4629.8
