Comercializador;Nome_Tarifa_Dual;proposta;Tipo;Segmento;Faturacao;Pagamento;opcao_horaria_e_ciclo;potencia_kva;preco_potencia_dia;preco_energia_simples;preco_energia_fora_vazio;preco_energia_vazio_bi;preco_energia_ponta;preco_energia_cheias;preco_energia_vazio_tri;elet_tar_incluida_energia;elet_tar_incluida_potencia;financiamento_tse_incluido;custo_regulacao_kwh;regulacao_iva_23;100_Verde;Gas_Termo_Fixo_E1;Gas_Termo_Energia_E1;Gas_Termo_Fixo_E2;Gas_Termo_Energia_E2;Gas_Termo_Fixo_E3;Gas_Termo_Energia_E3;Gas_Termo_Fixo_E4;Gas_Termo_Energia_E4;Gas_tar_incluida_termo_fixo;Gas_tar_incluida_energia;desconto_fatura_mes;desconto_mes_inicio;desconto_meses_limite;desconto_amigo_inicial;desconto_amigo_mes;desconto_amigo_meses;site_adesao;custo_pack_mes;notas;meses_promo;nome_pos_promo;apenas_fase
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;1,15;0,256988;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;2,3;0,336856;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;3,45;0,400242;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;4,6;0,521438;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;5,75;0,613524;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;6,9;0,784166;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;10,35;0,955218;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;13,8;1,242136;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;17,25;1,546438;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
Endesa;Endesa | Quero+ | Luz e Gás · (-18% 3 meses, depois -13%) | Plano Amigo | DD + FE;;Fixo;Doméstico;Fatura eletrónica;Débito Direto;Simples;20,7;1,984154;0,171243;;;;;;TRUE;TRUE;TRUE;;;FALSE;0,165558;0,102862;0,233782;0,099558;0,37884;0,09261;0,61172;0,091892;;;8,61;;3;;1,23;;https://www.endesa.pt/particulares/planos/luzegas/quero-mais-luzegas;;"Desconto de 18% nos 3 primeiros meses e, a partir do 4.º, passa a 13%. Oferta de 7 € + IVA (8,61 €/mês) nos primeiros 10 meses de contrato. Verifique o custo após os 3 meses iniciais na variante ""Depois dos 3 meses -13%"" deste simulador. O desconto Plano Amigo da Endesa (1,23 €/mês) é aplicado através da opção ""Incluir desconto amigo"". Há a possibilidade de ter 1,23 € de desconto extra por cada Amigo angariado.";3;Endesa | Quero+ | Luz e Gás · (Depois dos 3 meses -13%) | Plano Amigo | DD + FE;
