comercializador,nome,proposta,tipo,segmento,faturacao,pagamento,opcao_horaria_e_ciclo,potencia_kva,preco_potencia_dia,preco_energia_simples,preco_energia_fora_vazio,preco_energia_vazio_bi,preco_energia_ponta,preco_energia_cheias,preco_energia_vazio_tri,tar_incluida_energia,tar_incluida_potencia,financiamento_tse_incluido,custo_regulacao_kwh,regulacao_iva_23,100_Verde,desconto_fatura_mes,desconto_mes_inicio,desconto_meses_limite,desconto_amigo_inicial,desconto_amigo_mes,desconto_amigo_meses,site_adesao,custo_pack_mes,notas,meses_promo,nome_pos_promo,apenas_fase
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,1.15,0.2082,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,2.3,0.3095,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,3.45,0.4273,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,4.6,0.5355,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,5.75,0.6314,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,6.9,0.7655,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,10.35,1.0435,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,13.8,1.3242,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,17.25,1.6023,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
Alfa Energia,Alfa Energia | Alfa Power,,Fixo,Doméstico,"Fatura eletrónica, Fatura em papel","Débito Direto, Multibanco",Simples,20.7,1.9186,0.1835,,,,,,True,True,False,,,False,,,,,,,https://www.alfaenergia.pt/tarifas/domestico/0/simples/0?social=1,,,,,
